Topic,Count,Name,Representation,Representative_Docs
116,5,116_image_bandwidth_wish_direct,"['image', 'bandwidth', 'wish', 'direct', 'holographic', 'lenses', 'whenever', 'towards', 'transparent', 'blurring']","['users must still change their focus whenever they wish to view the projected image', 'holographic systems can introduce image blurring due to bandwidth generated problems', 'existing systems typically use lenses that direct an image towards a partially transparent surface']"
117,5,117_smell_loss_hearing_increased,"['smell', 'loss', 'hearing', 'increased', 'of', '', '', '', '', '']","['loss of smell', 'loss of smell', 'loss of smell']"
118,5,118_chromosome_error_segregation_placement,"['chromosome', 'error', 'segregation', 'placement', 'increased', 'abnormalities', 'structure', 'rate', 'errors', 'in']","['increased chromosome error rate', 'increased chromosome error rate', 'increased chromosome error rate']"
119,5,119_discomfort_substantial_rigid_physical,"['discomfort', 'substantial', 'rigid', 'physical', 'uncomfortable', 'generally', 'and', '', '', '']","['physical discomfort', 'physical discomfort', 'physical discomfort']"
120,5,120_connectivity_wi_fi_features,"['connectivity', 'wi', 'fi', 'features', 'network', 'measures', 'incorporate', 'other', 'social', 'limited']","['limited connectivity and features', 'lack of wi-fi or other network connectivity', 'lack of wi-fi or other network connectivity']"
121,5,121_buckling_knee_joint_acting,"['buckling', 'knee', 'joint', 'acting', 'msds', 'spine', 'amount', 'increase', 'musculoskeletal', 'pain']","['increase in the amount of stress acting on the spine', 'risk of buckling of the knee joint', 'risk of buckling of the knee joint']"
122,4,122_injuring_person_that_,"['injuring', 'person', 'that', '', '', '', '', '', '', '']","['injuring that person', 'injuring that person', 'injuring that person']"
123,4,123_locomotion_too_heavy_manual,"['locomotion', 'too', 'heavy', 'manual', 'agent', 'forward', 'step', 'leg', 'cannot', 'lift']","['too heavy for manual locomotion', 'too heavy for manual locomotion', 'too heavy for manual locomotion']"
124,4,124_program_continue_whether_uncertainty,"['program', 'continue', 'whether', 'uncertainty', 'viable', 'remain', 'will', 'security', 'social', 'medicament']","['uncertainty whether the social security program will continue to remain viable', 'uncertainty whether the social security program will continue to remain viable', 'uncertainty whether the social security program will continue to remain viable']"
125,4,125_decline_cognitive_age_related,"['decline', 'cognitive', 'age', 'related', '', '', '', '', '', '']","['age-related cognitive decline', 'age-related cognitive decline', 'age-related cognitive decline']"
126,4,126_absorbing_synovial_swelling_stops,"['absorbing', 'synovial', 'swelling', 'stops', 'partial', 'backaches', 'nourishing', 'inflammation', 'fluid', 'wrist']","['decreased swelling and inflammation of joints', 'body stops producing enough joint nourishing, shock absorbing synovial fluid', 'multiple causes such as injury, disease, partial paralysis, balance issues, excessive weight, advancing age and other limiting conditions']"
127,4,127_car_accident_driver_reckless,"['car', 'accident', 'driver', 'reckless', 'driving', 'error', '', '', '', '']","['driver error', 'car accident', 'car accident']"
128,4,128_losses_economic_substantial_emotional,"['losses', 'economic', 'substantial', 'emotional', 'costs', 'financial', 'and', '', '', '']","['economic losses', 'substantial economic and emotional costs', 'economic losses']"
129,4,129_take_prescribed_treatment_heart,"['take', 'prescribed', 'treatment', 'heart', 'disease', 'medication', 'failure', 'diabetes', 'including', 'consequences']","['failure to take a prescribed medication for treatment of heart disease', 'failure to take a prescribed medication for treatment of heart disease', 'failure to take a prescribed medication for treatment of heart disease']"
130,4,130_upper_dexterity_body_strength,"['upper', 'dexterity', 'body', 'strength', 'reduced', 'or', '', '', '', '']","['reduced dexterity or upper-body strength', 'reduced dexterity or upper-body strength', 'reduced dexterity or upper-body strength']"
131,4,131_stresses_localized_pressure_inguinal,"['stresses', 'localized', 'pressure', 'inguinal', 'exerted', 'area', 'high', 'amount', 'on', 'patient']","['high localized pressure stresses on the patient', 'high localized pressure stresses on the patient', 'high localized pressure stresses on the patient']"
132,4,132_taker_anxiety_levels_checked,"['taker', 'anxiety', 'levels', 'checked', 'respond', 'does', 'cause', 'high', 'care', 'when']","['high levels of care taker anxiety', 'high levels of care taker anxiety', 'high levels of care taker anxiety']"
133,4,133_appetite_loss_of_,"['appetite', 'loss', 'of', '', '', '', '', '', '', '']","['loss of appetite', 'loss of appetite', 'loss of appetite']"
134,4,134_shear_stresses_localized_pressure,"['shear', 'stresses', 'localized', 'pressure', 'high', 'on', 'and', 'patient', 'the', '']","['high localized shear and pressure stresses', 'high localized shear and pressure stresses', 'high localized shear and pressure stresses']"
135,4,135_curve_learning_given_will,"['curve', 'learning', 'given', 'will', 'year', 'these', 'associated', 'fall', 'systems', 'with']","['1 in 3 will fall in a given year', 'learning curve associated with these systems', 'learning curve associated with these systems']"
136,4,136_tilt_sensing_orientation_sensor,"['tilt', 'sensing', 'orientation', 'sensor', 'drawbacks', 'has', '', '', '', '']","['orientation sensing', 'tilt sensor drawbacks', 'tilt sensor has drawbacks']"
137,4,137_accident_times_supervision_no,"['accident', 'times', 'supervision', 'no', 'emergency', 'or', 'in', 'of', '', '']","['no supervision in times of accident or emergency', 'no supervision in times of accident or emergency', 'no supervision in times of accident or emergency']"
138,4,138_smartphone_years_less_seniors,"['smartphone', 'years', 'less', 'seniors', 'among', 'leaving', 'navigating', 'menus', 'app', 'usage']","['seniors get confused navigating through complex smartphone and app menus', 'smartphone usage is less than 10% among seniors 75 years and older', 'smartphone usage is less than 5% among seniors 80 years and older']"
139,4,139_rehabilitation_assisted_during_aid,"['rehabilitation', 'assisted', 'during', 'aid', 'designed', 'devices', 'need', 'increased', 'time', 'for']","['increased rehabilitation time', 'need for assisted devices during rehabilitation', 'need for assisted devices during rehabilitation']"
140,4,140_prohibit_caregivers_insurance_coverage,"['prohibit', 'caregivers', 'insurance', 'coverage', 'new', 'million', 'live', 'may', 'costs', 'sufficient']","['sufficient coverage by caregivers may not be possible', 'insurance costs may prohibit live-in caregivers', 'insurance costs may prohibit live-in caregivers']"
141,4,141_climate_alarm_style_initiated,"['climate', 'alarm', 'style', 'initiated', 'other', 'conditions', 'type', 'alert', 'monitoring', 'only']","['monitoring emergency, alarm, climate, or other conditions', 'monitoring emergency, alarm, climate, or other conditions', 'monitoring emergency, alarm, climate, or other conditions']"
142,4,142_rape_hernias__,"['rape', 'hernias', '', '', '', '', '', '', '', '']","['rape', 'rape', 'rape']"
143,4,143_fertilization_vitro_performed_140,"['fertilization', 'vitro', 'performed', '140', 'were', 'cycles', 'ivf', 'approximately', 'efficiency', '000']","['low pregnancy and birth rates following in vitro fertilization (ivf) attempts', 'approximately 140,000 cycles of in vitro fertilization (ivf) were performed', 'approximately 140,000 cycles of in vitro fertilization (ivf) were performed']"
144,4,144_data_disturbed_coarse_placements,"['data', 'disturbed', 'coarse', 'placements', 'practical', 'samples', 'constantly', 'generated', 'camera', 'thus']","['insufficient data from practical sensor placements', 'coarse data generated by passive environmental sensors', 'samples are constantly moving thus being disturbed in their environment']"
145,4,145_e911_dispatch_architecture_connect,"['e911', 'dispatch', 'architecture', 'connect', 'critical', 'enough', 'call', 'calls', 'provide', 'location']","['call connect time is critical', 'current e911 architecture is unable to provide dispatch-quality location on enough calls', 'current e911 architecture is unable to provide dispatch-quality location on enough calls']"
146,4,146_residences_secure_loved_ones,"['residences', 'secure', 'loved', 'ones', 'safe', 'homes', 'own', 'disabled', 'these', 'anxiety']","['safety of loved ones alone at their homes', 'anxiety that these elderly and disabled persons are safe and secure in their own residences', 'anxiety that these elderly and disabled persons are safe and secure in their own residences']"
147,4,147_humiliating_embarrassing__,"['humiliating', 'embarrassing', '', '', '', '', '', '', '', '']","['embarrassing', 'humiliating', 'humiliating']"
148,4,148_bullying_schoolyard_cyber_physical,"['bullying', 'schoolyard', 'cyber', 'physical', 'in', 'the', '', '', '', '']","['cyber bullying', 'physical bullying in the schoolyard', 'physical bullying in the schoolyard']"
149,4,149_couple_overestimating_achieving_probability,"['couple', 'overestimating', 'achieving', 'probability', 'estimating', 'pregnancy', 'over', 'the', 'of', '']","[""overestimating the couple's probability of achieving a pregnancy"", ""overestimating the couple's probability of achieving a pregnancy"", ""overestimating the couple's probability of achieving a pregnancy""]"
150,4,150_child_ins_shut_avoiding,"['child', 'ins', 'shut', 'avoiding', 'well', 'becoming', 'safety', 'managing', 'parents', 'faced']","['child safety and well-being', 'child safety and well-being', 'caregivers and their patients becoming shut-ins or avoiding dangerous situations']"
151,4,151_overloaded_cellular_uselessness_telecommunications,"['overloaded', 'cellular', 'uselessness', 'telecommunications', 'stretched', 'congested', 'circuits', 'networks', 'registered', 'were']","['phone networks congested into uselessness', 'overloaded cellular circuits', 'traditional telecommunications were stretched and overloaded']"
152,4,152_higher_alone_being_risk,"['higher', 'alone', 'being', 'risk', 'of', '', '', '', '', '']","['higher risk of being alone', 'higher risk of being alone', 'higher risk of being alone']"
153,4,153_cell_shape_topology_division,"['cell', 'shape', 'topology', 'division', 'deformation', 'mass', 'changing', 'movement', 'due', 'or']","['cell shape deformation', 'changing topology of the cell mass due to the cell division/and or cell movement', 'changing topology of the cell mass due to the cell division/and or cell movement']"
154,4,154_work_among_workplace_nurses,"['work', 'among', 'workplace', 'nurses', '200', 'employees', 'yearly', 'injuries', 'handling', 'suffer']","['employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly', 'work-related injuries among nurses', 'work-related injuries among nurses']"
155,4,155_post_surgery_while_surgical,"['post', 'surgery', 'while', 'surgical', 'intervention', 'unstable', 'potentially', 'associated', 'use', 'device']","['potentially unstable device while in use', 'post-surgery', 'post-surgery']"
156,4,156_pathological_gait_disorders_balance,"['pathological', 'gait', 'disorders', 'balance', 'spinal', 'keep', 'sometimes', 'correct', 'posture', 'who']","['pathological balance and gait disorders', 'pathological balance and gait disorders', 'pathological balance and gait disorders']"
157,4,157_threatening_potentially_complications_life,"['threatening', 'potentially', 'complications', 'life', 'stumbling', 'fatal', 'outcomes', 'risk', 'patient', 'or']","['life threatening or fatal outcomes', 'potentially life-threatening complications', 'potentially life-threatening complications']"
158,4,158_deterioration_worsening_acuteness_condition,"['deterioration', 'worsening', 'acuteness', 'condition', 'symptoms', 'medical', 'ohss', 'person', 'of', 'the']","['worsening of symptoms of ohss', 'deterioration of the medical condition', 'deterioration of the medical condition']"
159,4,159_inactivity_caused_depression_general,"['inactivity', 'caused', 'depression', 'general', 'by', '', '', '', '', '']","['inactivity caused by general depression', 'inactivity caused by general depression', 'inactivity caused by general depression']"
160,4,160_exist_functionally_variability_performance,"['exist', 'functionally', 'variability', 'performance', 'weakened', 'impediment', 'healthy', 'keeping', 'able', 'sufficient']","['elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own', 'walking impediment due to weakened muscle resulting from aging', 'challenges exist in keeping people healthy and functionally able as they age']"
161,4,161_costs_manufacturing_increased_affecting,"['costs', 'manufacturing', 'increased', 'affecting', '', '', '', '', '', '']","['increased costs', 'affecting manufacturing costs', 'increased costs']"
162,4,162_environmental_sensitive_potency_reduce,"['environmental', 'sensitive', 'potency', 'reduce', 'exposure', 'efficacy', 'medications', 'conditions', 'certain', 'these']","['medications are sensitive to certain environmental conditions', 'over-exposure to these environmental conditions can reduce the potency or efficacy of the medications', 'over-exposure to these environmental conditions can reduce the potency or efficacy of the medications']"
163,4,163_giver_little_space_burden,"['giver', 'little', 'space', 'burden', 'between', 'very', 'large', 'care', 'user', 'on']","['large burden on the care giver', 'very little space between the user and the care giver', 'very little space between the user and the care giver']"
164,4,164_ulcers_pressure_late_increases,"['ulcers', 'pressure', 'late', 'increases', 'admission', 'risk', 'the', 'of', '', '']","['late admission increases the risk of pressure ulcers', 'late admission increases the risk of pressure ulcers', 'late admission increases the risk of pressure ulcers']"
165,4,165_stress_stall_impede_even,"['stress', 'stall', 'impede', 'even', 'significant', 'development', 'embryo', 'may', 'physical', 'that']","['stress', 'physical stress that may impede or even stall embryo development', 'stress']"
166,4,166_industry_cost_30b_2012,"['industry', 'cost', '30b', '2012', 'falls', 'was', 'care', 'elderly', 'health', 'about']","['cost of falls in the elderly for the health care industry', 'cost of falls in the elderly for the health care industry', 'cost of falls in the elderly for the health care industry']"
167,4,167_anguish_confidence_maintaining_ambulating,"['anguish', 'confidence', 'maintaining', 'ambulating', 'independence', 'reduced', 'difficulty', 'mobility', 'in', 'and']","['difficulty in maintaining independence', 'anguish and reduced confidence in mobility', 'anguish and reduced confidence in mobility']"
168,4,168_ohss_risk_risks_potential,"['ohss', 'risk', 'risks', 'potential', 'of', '', '', '', '', '']","['risk of ohss', 'risk of ohss', 'risk of ohss']"
169,3,169_wandering_confused_panic_consequences,"['wandering', 'confused', 'panic', 'consequences', 'may', 'be', 'person', 'and', 'of', '']","['person may panic and be confused', 'consequences of wandering', 'wandering']"
170,3,170_occupants_distinguish_rough_suspension,"['occupants', 'distinguish', 'rough', 'suspension', 'outdoor', 'space', 'suitability', 'areas', 'adequate', 'hinder']","['hinder suitability for use in areas with limited floor space', 'not designed to provide adequate suspension for mobility over rough outdoor surfaces', 'distinguish between individual occupants in a space and multiple occupants']"
171,3,171_degrees_deficiency_clamping_losing,"['degrees', 'deficiency', 'clamping', 'losing', 'device', 'varying', 'relating', 'forces', 'instability', 'control']","['losing control of the device', 'varying degrees of deficiency relating to the instability of the device', 'large forces on the clamping device']"
172,3,172_seat_straight_vertically_raises,"['seat', 'straight', 'vertically', 'raises', 'harness', 'lowers', 'down', 'swings', 'basically', 'forcing']","['inadequate prior art in providing a seat or sling harness', 'seat raises straight up vertically and lowers straight down vertically', 'seat does not provide enough support as it swings up forcing the user to basically sit down on their own']"
173,3,173_erroneously_pedometers_movements_record,"['erroneously', 'pedometers', 'movements', 'record', 'than', 'often', 'walking', 'other', '', '']","['pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking', 'pedometers often erroneously record movements other than walking']"
174,3,174_expectant_hopeful_toll_parents,"['expectant', 'hopeful', 'toll', 'parents', 'trusted', 'upsetting', 'emotionally', 'emotional', 'perceive', 'they']","['emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves', 'emotional toll on hopeful and expectant parents', 'emotional toll on hopeful and expectant parents']"
175,3,175_nutritional_homeostasis__,"['nutritional', 'homeostasis', '', '', '', '', '', '', '', '']","['nutritional homeostasis', 'nutritional homeostasis', 'nutritional homeostasis']"
176,3,176_tend_deteriorate_coordination_muscle,"['tend', 'deteriorate', 'coordination', 'muscle', 'balance', 'strength', 'age', 'with', 'and', 'to']","['coordination, muscle strength, and balance tend to deteriorate with age', 'coordination, muscle strength, and balance tend to deteriorate with age', 'coordination, muscle strength, and balance tend to deteriorate with age']"
177,3,177_parkinson_diseases_chronic_disease,"['parkinson', 'diseases', 'chronic', 'disease', 'such', 'as', '', '', '', '']","[""chronic diseases such as parkinson's disease"", ""chronic diseases such as parkinson's disease"", ""chronic diseases such as parkinson's disease""]"
178,3,178_unpredictable_efficacy_treatments_ivf,"['unpredictable', 'efficacy', 'treatments', 'ivf', 'low', 'these', 'treatment', 'success', 'cost', 'high']","['high cost of ivf treatment', 'low efficacy of ivf', 'success of these treatments is low and unpredictable']"
179,3,179_global_development_delay_poor,"['global', 'development', 'delay', 'poor', '', '', '', '', '', '']","['poor development', 'global development delay', 'poor development']"
180,3,180_privacy_invasive_concerns_issues,"['privacy', 'invasive', 'concerns', 'issues', 'systems', 'with', '', '', '', '']","['privacy concerns', 'privacy issues with invasive systems', 'privacy issues with invasive systems']"
181,3,181_hazard_property_significant_possible,"['hazard', 'property', 'significant', 'possible', 'life', 'to', '', '', '', '']","['possible hazard', 'significant hazard to property', 'significant hazard to life']"
182,3,182_variable_potential_term_implantation,"['variable', 'potential', 'term', 'implantation', 'development', 'for', 'and', 'to', '', '']","['variable potential for implantation and development to term', 'variable potential for implantation and development to term', 'variable potential for implantation and development to term']"
183,3,183_conception_cattle_rates_40,"['conception', 'cattle', 'rates', '40', 'range', '50', 'low', 'from', 'to', 'of']","['conception rates of cattle range from 40% to 50%', 'low conception rates', 'low conception rates']"
184,3,184_optimistic_overly_reporting_achieving,"['optimistic', 'overly', 'reporting', 'achieving', 'probability', 'birth', 'pregnancy', 'live', 'an', 'or']","['reporting an overly optimistic probability of achieving a pregnancy', 'reporting an overly optimistic probability of achieving a pregnancy or live birth', 'reporting an overly optimistic probability of achieving a pregnancy or live birth']"
185,3,185_emergent_prone_events_certain,"['emergent', 'prone', 'events', 'certain', 'persons', 'emergencies', 'at', 'may', 'personal', 'be']","['personal emergencies', 'at risk persons may be prone to certain emergent events', 'at risk persons may be prone to certain emergent events']"
186,3,186_stairs_adjacent_unwieldy_difference,"['stairs', 'adjacent', 'unwieldy', 'difference', 'unsuitable', 'height', 'unstable', 'between', 'large', 'on']","['unsuitable for use on stairs', 'unstable and unwieldy on stairs', 'large difference in height between adjacent stairs']"
187,3,187_cancer___,"['cancer', '', '', '', '', '', '', '', '', '']","['cancer', 'cancer', 'cancer']"
188,3,188_permanent_persistent_disability_temporary,"['permanent', 'persistent', 'disability', 'temporary', 'unavailability', 'death', 'functional', 'or', '', '']","['temporary functional unavailability', 'permanent or persistent disability or death', 'permanent or persistent disability or death']"
189,3,189_hospitalization_beds_hospital_expensive,"['hospitalization', 'beds', 'hospital', 'expensive', '', '', '', '', '', '']","['expensive hospital beds', 'hospitalization', 'hospitalization']"
190,3,190_content_resolution_displays_information,"['content', 'resolution', 'displays', 'information', 'requiring', 'storage', 'feasible', 'space', 'high', 'additional']","['requiring additional storage space when not in use', 'high information content displays require high resolution that is not feasible in low information content systems', 'low information content displays do not require high resolution']"
191,3,191_predominately_hand_second_hold,"['predominately', 'hand', 'second', 'hold', 'requiring', 'mechanical', 'handle', 'each', 'manually', 'operate']","['mechanical transfer devices require considerable strength to manually operate', 'predominately manual devices requiring the assistance of a second person', 'devices require the user to hold a handle with each hand']"
192,3,192_fracture_hips_broken_,"['fracture', 'hips', 'broken', '', '', '', '', '', '', '']","['fracture', 'fracture', 'broken hips']"
193,3,193_sensitivity_known_such_low,"['sensitivity', 'known', 'such', 'low', 'systems', 'for', '', '', '', '']","['low sensitivity for known systems', 'low sensitivity for such known systems', 'low sensitivity for such known systems']"
194,3,194_realize_unavailable_currently_activities,"['realize', 'unavailable', 'currently', 'activities', 'failure', 'that', 'are', 'to', '', '']","['failure to realize that activities are currently unavailable', 'failure to realize that activities are currently unavailable', 'failure to realize that activities are currently unavailable']"
195,3,195_elements_rolling_dedicated_does,"['elements', 'rolling', 'dedicated', 'does', 'feet', 'hinged', 'steering', 'leg', 'cane', 'conventional']","['front leg is hinged to the rear leg to enable steering of the rolling cane', 'conventional rolling walker does not have dedicated feet support elements', 'conventional rolling walker does not have dedicated feet support elements']"
196,3,196_wake_disruptive_degrade_begins,"['wake', 'disruptive', 'degrade', 'begins', 'sleep', 'rest', 'dramatically', 'periods', 'status', 'patterns']","['sleep/wake patterns', 'disruptive rest periods', 'physiological status begins to dramatically degrade with time']"
197,3,197_vulnerable_stigmatizing_looking_character,"['vulnerable', 'stigmatizing', 'looking', 'character', 'attached', 'fully', 'capable', 'after', 'individuals', 'these']","['vulnerable individuals', 'vulnerable individuals not capable of fully looking after themselves', 'stigmatizing character attached with the use of these']"
198,3,198_abutting_surfaces_tends_pinch,"['abutting', 'surfaces', 'tends', 'pinch', 'parts', 'causing', 'items', 'therebetween', 'wide', 'assistant']","['canvas sling tends to take more than one assistant to operate', 'abutting surfaces can pinch body parts or items therebetween causing damage or pain', 'extra wide abutting surfaces do not always provide sufficient strength for long term use']"
199,3,199_trouble_place_transported_another,"['trouble', 'place', 'transported', 'another', 'moving', 'otherwise', 'incapacitated', 'one', 'being', 'move']","['incapacitated or otherwise unable to move', 'trouble moving or being transported from one place to another', 'trouble moving or being transported from one place to another']"
200,3,200_transmitter_remote_receivers_range,"['transmitter', 'remote', 'receivers', 'range', 'positions', 'accuracy', 'known', 'which', 'limited', 'are']","['accuracy to which the positions of the receivers are known', 'limited range of the remote transmitter', 'limited range of the remote transmitter']"
201,3,201_arthritis_orthopedic_impairments_or,"['arthritis', 'orthopedic', 'impairments', 'or', 'and', '', '', '', '', '']","['arthritis and/or orthopedic impairments', 'arthritis and/or orthopedic impairments', 'arthritis and/or orthopedic impairments']"
202,3,202_daily_supervision_activities_of,"['daily', 'supervision', 'activities', 'of', '', '', '', '', '', '']","['supervision of daily activities', 'supervision of daily activities', 'supervision of daily activities']"
203,3,203_wireless_communications_present_direction,"['wireless', 'communications', 'present', 'direction', 'carried', 'limitations', 'passive', 'unit', 'distance', 'devices']","['passive unit-carried devices providing no distance and direction capabilities', 'limitations of present wireless communications devices', 'limitations of present wireless communications devices']"
204,3,204_geriatric_freely_facing_suffering,"['geriatric', 'freely', 'facing', 'suffering', 'diseases', 'about', 'moving', 'population', 'problems', 'increased']","['increased suffering from geriatric diseases', 'problems facing the geriatric population', 'geriatric patients moving about freely']"
205,3,205_obesity_prevalence_increase_suffer,"['obesity', 'prevalence', 'increase', 'suffer', 'from', 'in', 'the', 'of', '', '']","['suffer from obesity', 'increase in the prevalence of obesity', 'increase in the prevalence of obesity']"
206,3,206_vomiting_nausea_fatigue_,"['vomiting', 'nausea', 'fatigue', '', '', '', '', '', '', '']","['fatigue', 'nausea', 'vomiting']"
207,3,207_pains_muscular_pain_,"['pains', 'muscular', 'pain', '', '', '', '', '', '', '']","['pain', 'muscular pains', 'pain']"
208,3,208_vehicle_technical_autonomous_demand,"['vehicle', 'technical', 'autonomous', 'demand', 'usage', 'failure', 'low', 'for', 'of', '']","['low demand for autonomous vehicle usage', 'technical failure of a vehicle', 'technical failure of a vehicle']"
209,3,209_promote_postures_good_posture,"['promote', 'postures', 'good', 'posture', 'traditional', 'awkward', 'using', 'walker', 'required', 'methods']","['poor posture when using a traditional walker', 'do not promote good posture', 'awkward postures required by other methods']"
210,3,210_communication_infrastructure_undue_expense,"['communication', 'infrastructure', 'undue', 'expense', 'consist', 'medium', 'strain', 'include', 'some', 'using']","['9-1-1 “call” to include or to consist of only a communication using some other medium', 'undue expense/strain on the communication infrastructure', 'undue expense/strain on the communication infrastructure']"
211,3,211_security_event_related_,"['security', 'event', 'related', '', '', '', '', '', '', '']","['security related event', 'security related event', 'security related event']"
212,3,212_reaching_presents_button_task,"['reaching', 'presents', 'button', 'task', 'push', 'difficult', 'one', 'time', 'devices', 'the']","['one-time, push-button devices', 'reaching the button presents a difficult task', 'reaching the button presents a difficult task']"
213,3,213_skill_technological_operate_three,"['skill', 'technological', 'operate', 'three', 'operation', 'two', 'requires', 'least', 'more', 'require']","['requires at least two to three persons for operation', 'require more technological skill to operate', 'require more technological skill to operate']"
214,3,214_safety_need_individual_for,"['safety', 'need', 'individual', 'for', '', '', '', '', '', '']","['individual safety', 'need for safety', 'need for safety']"
215,3,215_needs_different_patients_care,"['needs', 'different', 'patients', 'care', 'the', 'of', '', '', '', '']","['different care needs', 'needs of the patients', 'needs of the patients']"
216,3,216_impaired_individuals_mobility_,"['impaired', 'individuals', 'mobility', '', '', '', '', '', '', '']","['mobility-impaired individuals', 'mobility-impaired individuals', 'mobility-impaired individuals']"
217,3,217_visibility_remote_precise_real,"['visibility', 'remote', 'precise', 'real', 'caller', 'caregivers', 'hearing', 'known', 'impaired', 'time']","[""hearing-impaired caller's precise location information may not be known"", 'lack of real time remote visibility for caregivers', 'lack of real time remote visibility for caregivers']"
218,3,218_repeated_fall_falling_,"['repeated', 'fall', 'falling', '', '', '', '', '', '', '']","['fall', 'fall', 'repeated falling']"
219,3,219_postural_alignment_mechanics_altered,"['postural', 'alignment', 'mechanics', 'altered', 'maintain', 'does', 'gait', 'unstable', 'motion', 'that']","['altered gait mechanics', 'unstable motion that does not maintain postural alignment', 'postural alignment']"
220,3,220_threatening_terror_attacks_,"['threatening', 'terror', 'attacks', '', '', '', '', '', '', '']","['threatening', 'threatening', 'terror attacks']"
221,3,221_acquire_affordable_friends_family,"['acquire', 'affordable', 'friends', 'family', 'costly', 'couple', 'economic', 'too', 'costs', 'user']","['economic costs to the couple', 'costly and not affordable for the family and/or friends', 'too costly for the home user to acquire']"
222,3,222_occupant_spring_match_forces,"['occupant', 'spring', 'match', 'forces', 'adjustment', 'find', 'impossible', 'weight', 'rise', 'feet']","['find it difficult or impossible to rise to their feet', 'require adjustment to match the spring forces to the weight of the occupant', 'require adjustment to match the spring forces to the weight of the occupant']"
223,3,223_speeding_movement_difficulty_,"['speeding', 'movement', 'difficulty', '', '', '', '', '', '', '']","['movement difficulty', 'speeding', 'speeding']"
224,3,224_wider_stair_separating_rear,"['wider', 'stair', 'separating', 'rear', 'front', 'depth', 'distance', 'typical', 'step', 'treadmill']","['leg is left on the belt of the treadmill', 'distance separating front and rear legs being wider than a typical stair step depth', 'distance separating front and rear legs being wider than a typical stair step depth']"
225,3,225_unapproved_content_parents_inconveniences,"['unapproved', 'content', 'parents', 'inconveniences', 'additional', 'by', '', '', '', '']","['additional inconveniences', 'content unapproved by parents', 'content unapproved by parents']"
226,3,226_unacceptable_chafing_skin_tears,"['unacceptable', 'chafing', 'skin', 'tears', 'discomfort', 'dangerous', 'person', 'the', 'and', 'to']","['discomfort to the person', 'unacceptable and dangerous chafing of the skin', 'skin tears']"
227,3,227_overload_interactive_information_facilitate,"['overload', 'interactive', 'information', 'facilitate', 'mechanism', 'communication', 'user', 'monitoring', 'no', 'for']","['information overload for the monitoring user', 'information overload for the monitoring user', 'no interactive mechanism to facilitate communication of information']"
228,3,228_adjustable_differing_sized_accommodating,"['adjustable', 'differing', 'sized', 'accommodating', 'heights', 'vertically', 'users', 'height', 'orientation', 'accommodate']","['orientation or posture', 'device is not height adjustable for accommodating different sized users', 'not vertically adjustable to accommodate users of differing heights']"
229,2,229_blocked_piece_tubes_seats,"['blocked', 'piece', 'tubes', 'seats', 'missing', 'complicated', 'one', 'or', '', '']","['complicated, one piece seats', 'blocked or missing tubes']"
230,2,230_embryonic_early_loss_high,"['embryonic', 'early', 'loss', 'high', 'rates', 'rate', 'of', '', '', '']","['high rates of embryonic loss', 'high rate of early embryonic loss']"
231,2,231_immobilized_temporarily_point_bedridden,"['immobilized', 'temporarily', 'point', 'bedridden', 'invalid', 'ridden', 'least', 'ambulatory', 'become', 'they']","['limited to non-ambulatory, invalid, or bed-ridden patient', 'patients can be immobilized to the point that they become at least temporarily bedridden']"
232,2,232_gonadotropin_determinations_hormone_side,"['gonadotropin', 'determinations', 'hormone', 'side', 'preparations', 'frequent', 'effects', 'need', 'from', 'for']","['need for frequent hormone determinations', 'side effects from the gonadotropin preparations']"
233,2,233_interference_sleep_reliance_degradation,"['interference', 'sleep', 'reliance', 'degradation', 'aids', 'daily', 'activities', 'physical', 'with', 'on']","['physical degradation and reliance on aids', 'interference with sleep or daily activities']"
234,2,234_unlikely_rush_restraining_orders,"['unlikely', 'rush', 'restraining', 'orders', 'enforce', 'specific', 'difficulty', 'person', 'home', 'is']","['specific person is unlikely to rush home', 'difficulty to enforce restraining orders']"
235,2,235_tormenting_passing_red_lights,"['tormenting', 'passing', 'red', 'lights', '', '', '', '', '', '']","['tormenting', 'passing red lights']"
236,2,236_stigmatised_stigma_invalid_fear,"['stigmatised', 'stigma', 'invalid', 'fear', 'discomfort', 'being', 'from', 'or', '', '']","['invalid stigma', 'discomfort or fear from being stigmatised']"
237,2,237_adding_awkward_components_system,"['adding', 'awkward', 'components', 'system', 'more', 'use', 'to', '', '', '']","['awkward to use', 'adding more components to a system']"
238,2,238_misuse_abort_tendency_potential,"['misuse', 'abort', 'tendency', 'potential', 'for', 'to', '', '', '', '']","['potential for misuse', 'tendency to abort']"
239,2,239_surround_essentially_enclosure_almost,"['surround', 'essentially', 'enclosure', 'almost', 'ridden', 'provide', 'bed', 'people', 'an', 'person']","['almost bed-ridden people', 'not provide an enclosure to essentially surround the person']"
240,2,240_overdose_bodies_danger_damage,"['overdose', 'bodies', 'danger', 'damage', 'their', 'an', 'to', 'of', '', '']","['damage to their bodies', 'danger of an overdose']"
