entity_text,keywords,keywords_in_abstract,keywords_in_brfsum
catalyst for use in a selective reduction of nox,"catalyst, selective reduction, nox","catalyst, selective reduction, nox","catalyst, selective reduction, nox"
process for the selective reduction of nox,"selective reduction, nox","selective reduction, nox","selective reduction, nox"
applying an iron salt solution to a support layer,"iron salt solution, support layer",support layer,"iron salt solution, support layer"
using the reducing agent ammonia,"reducing agent, ammonia",,"reducing agent, ammonia"
producing reproducible catalysts having constant good properties,"reproducible catalysts, properties",,"reproducible catalysts, properties"
calcined in air,"calcined, air",,"calcined, air"
applying an amount of iron oxide to the support layer,"iron oxide, support layer",support layer,"iron oxide, support layer"
"comprises a substrate body, a support layer, an active layer","substrate body, support layer, active layer","substrate body, support layer","substrate body, support layer, active layer"
"promoters tungsten, zirconium and/or molybdenum","promoters, tungsten, zirconium, molybdenum",,"promoters, tungsten, zirconium, molybdenum"
internal combustion engines,internal combustion engines,internal combustion engines,internal combustion engines
motor vehicles equipped with diesel engines,"motor vehicles, diesel engines",,"motor vehicles, diesel engines"
nox sorbents,nox sorbents,,nox sorbents
particulate matter,particulate matter,,particulate matter
harmful effects on the environment,environment,,environment
harmful effects on human being,"harmful effects, human being",,"harmful effects, human being"
honeycomb filter,honeycomb filter,honeycomb filter,honeycomb filter
honeycomb fired bodies,"honeycomb, fired bodies","honeycomb, fired bodies","honeycomb, fired bodies"
adhesive material,adhesive material,adhesive material,adhesive material
internal combustion engines,internal combustion engines,,internal combustion engines
vehicles,vehicles,,vehicles
buses,buses,,buses
trucks,trucks,,trucks
construction machines,construction machines,,construction machines
nitrogen oxides,nitrogen oxides,nitrogen oxides,nitrogen oxides
harmful nitrogen oxides,nitrogen oxides,nitrogen oxides,nitrogen oxides
deterioration of catalyst,catalyst deterioration,,
presence of sulfur oxides,sulfur oxides,,sulfur oxides
environmental pollution,environmental pollution,,environmental pollution
deterioration in catalytic activity at low temperatures,"catalytic activity, low temperatures",,"catalytic activity, low temperatures"
low decomposition activity for nox,"decomposition activity, NOx",,"decomposition activity, NOx"
low conversion rate of nitrogen oxides to nitrogen,"conversion rate, nitrogen oxides, nitrogen","nitrogen oxides, nitrogen","conversion rate, nitrogen oxides, nitrogen"
deterioration of nox storage-reduction system,nox storage-reduction system,,nox storage-reduction system
method for catalytic reduction of nitrogen oxides,"method, catalytic reduction, nitrogen oxides","method, catalytic reduction, nitrogen oxides","method, catalytic reduction, nitrogen oxides"
catalytic reactor,catalytic reactor,catalytic reactor,catalytic reactor
nox storage-reduction system,nox storage-reduction system,,nox storage-reduction system
catalyst with high sox durability,"catalyst, sox durability",catalyst,"catalyst, sox durability"
automobiles,automobiles,,automobiles
vehicles with lean burn engines,"vehicles, lean burn engines",,"vehicles, lean burn engines"
emission of pollutants,"emission, pollutants",,"emission, pollutants"
blocking of the filter,filter,filter,filter
increase in flow resistance,flow resistance,,flow resistance
reduction in engine performance,engine performance,,engine performance
high energy demand of a purely thermal regeneration,"high energy demand, thermal regeneration",,"high energy demand, thermal regeneration"
exhaust gas temperatures in excess of 355Â° c.,exhaust gas temperatures,,exhaust gas temperatures
limited extent for the practical use in vehicles,"practical use, vehicles",,"practical use, vehicles"
particulate filter comprising a finely dispersed catalyst,"particulate filter, finely dispersed catalyst",,"particulate filter, finely dispersed catalyst"
method for producing the particulate filter,"particulate filter, method",,"particulate filter, method"
self-cleaning of self-regenerating particle filters,"self-cleaning, self-regenerating particle filters",,"self-cleaning, self-regenerating particle filters"
depth filter,depth filter,,depth filter
electric heater,electric heater,,electric heater
diesel engines,diesel engines,,diesel engines
vehicles,vehicles,,vehicles
nox emissions from diesel engines,"nox emissions, diesel engines",,"nox emissions, diesel engines"
environmental problem,environmental problem,,environmental problem
regulations pending that will limit nox emissions,"regulations, nox emissions",,"regulations, nox emissions"
exhaust is generally too oxygen-rich for three-way catalysts to be effective,"exhaust, oxygen-rich, three-way catalysts",exhaust,"exhaust, oxygen-rich, three-way catalysts"
peak nox conversion efficiencies for lean-burn catalysts are unacceptably low,"lean-burn catalysts, conversion efficiencies",,"lean-burn catalysts, conversion efficiencies"
lack of infrastructure for distributing ammonia or a suitable precursor,"infrastructure, ammonia, precursor",,"infrastructure, ammonia, precursor"
possible release of ammonia into the environment,"ammonia, environment",,"ammonia, environment"
accumulating sox,[],,
significant amount of sox produced by combustion,"sox, combustion",,"sox, combustion"
desulfation requires elevated temperatures as well as a reducing atmosphere,"desulfation, elevated temperatures, reducing atmosphere",desulfation,"desulfation, elevated temperatures, reducing atmosphere"
long felt need for an affordable and reliable exhaust treatment system,"affordable exhaust treatment system, reliable exhaust treatment system",,reliable exhaust treatment system
desulfation methods for an exhaust treatment system,"desulfation methods, exhaust treatment system","desulfation methods, exhaust treatment system",exhaust treatment system
control strategy that applies to the above-described system,"control strategy, system",system,"control strategy, system"
methods of desulfating a lnt,"methods, desulfating, lnt","methods, lnt","methods, desulfating, lnt"
reducing environment for lnt regeneration,"reducing environment, lnt regeneration",,"reducing environment, lnt regeneration"
diesel engines,diesel engines,,diesel engines
lean burn gasoline engines,lean burn gasoline engines,,lean burn gasoline engines
manufacturers,manufacturers,,manufacturers
researchers,[],,
u.s. environmental protection agency (epa),"u.s. environmental protection agency, epa",,"u.s. environmental protection agency, epa"
vehicles,vehicles,,vehicles
exhaust emission standards,exhaust emission standards,,exhaust emission standards
particulate matter,particulate matter,,particulate matter
reduced functionality of the filter,"functionality, filter",,"functionality, filter"
insufficient temperature of the exhaust,"temperature, exhaust","temperature, exhaust","temperature, exhaust"
costly and problematic system,system,system,system
wasted additive,[],,
excessive amounts of ash,ash,,ash
reduced maintenance interval,maintenance interval,,maintenance interval
exhaust treatment system,exhaust treatment system,exhaust treatment system,exhaust treatment system
supply of catalyst,catalyst supply,,
injector operable to selectively pass catalyst,"injector, catalyst","injector, catalyst","injector, catalyst"
controller configured to determine a temperature,"controller, temperature","controller, temperature","controller, temperature"
method of treating exhaust,"method, exhaust",exhaust,"method, exhaust"
internal combustion engines,internal combustion engines,,internal combustion engines
vehicle owner,vehicle owner,,vehicle owner
sulfur poisoning of nox occlusion reduction type catalyst,"sulfur poisoning, nox occlusion, reduction type catalyst","nox occlusion, reduction type catalyst","sulfur poisoning, nox occlusion, reduction type catalyst"
evenness of temperature in the catalyst,"temperature, catalyst","temperature, catalyst","temperature, catalyst"
generation of hydrogen sulfide,hydrogen sulfide,,hydrogen sulfide
extreme thermal deterioration of catalyst,"thermal deterioration, catalyst","thermal deterioration, catalyst","thermal deterioration, catalyst"
high costs and catalyst deterioration,"high costs, catalyst deterioration",,"high costs, catalyst deterioration"
sulfur purge control method,sulfur purge control method,,sulfur purge control method
air fuel ratio control for sulfur purge,"air fuel ratio control, sulfur purge","air fuel ratio control, sulfur purge","air fuel ratio control, sulfur purge"
nox occlusion reduction type catalyst,"nox occlusion reduction, catalyst","nox occlusion reduction, catalyst","nox occlusion reduction, catalyst"
oxidation catalyst,oxidation catalyst,oxidation catalyst,oxidation catalyst
nox occlusion reduction type catalyst,"nox occlusion, reduction type, catalyst","nox occlusion, reduction type, catalyst","nox occlusion, reduction type, catalyst"
exhaust gas purification system,exhaust gas purification system,,exhaust gas purification system
internal combustion engine,internal combustion engine,,internal combustion engine
low thermal shock,thermal shock,,thermal shock
crack is easily generated in the filter,"crack, filter",,"crack, filter"
fine particles trapped in the filter are not completely burnt,"fine particles, filter",,"fine particles, filter"
poor efficiency in treating the exhaust gas,"efficiency, exhaust gas",,"efficiency, exhaust gas"
temperature difference in the ceramic structure,"temperature difference, ceramic structure",,"temperature difference, ceramic structure"
temperature in the vicinity of the coating material of the outer segment does not easily rise,"temperature, coating material, outer segment",coating material,"temperature, coating material, outer segment"
soot of the corresponding portion is not easily completely burnt,"soot, portion",,"soot, portion"
strength of the coating material lowers,coating material,coating material,coating material
coating material is cracked,coating material,coating material,coating material
honeycomb structure,honeycomb structure,honeycomb structure,honeycomb structure
integration of a plurality of porous honeycomb segments,porous honeycomb segments,,porous honeycomb segments
bonding these outer walls to one another with a bonding material,"outer walls, bonding material","outer walls, bonding material","outer walls, bonding material"
decrease a temperature difference between the center of an outer segment and the vicinity of a coating material,"temperature difference, outer segment, coating material",coating material,"temperature difference, outer segment, coating material"
internal combustion engine,internal combustion engine,,internal combustion engine
boiler,boiler,,boiler
chemical reaction device,chemical reaction device,,chemical reaction device
reformer for a fuel cell,"reformer, fuel cell",,"reformer, fuel cell"
trap filter of fine particles in an exhaust gas,"trap filter, fine particles, exhaust gas",,"trap filter, fine particles, exhaust gas"
diesel engine,diesel engine,,diesel engine
complex mixture of emissions,emissions,,emissions
gaseous compounds,gaseous compounds,,gaseous compounds
particulate matter exhausted to the environment,"particulate matter, environment",,"particulate matter, environment"
harmful nox,[],,
nox gas exhausted to the environment,"nox gas, environment",,"nox gas, environment"
exhaust emission control system,exhaust emission control system,exhaust emission control system,exhaust emission control system
dual path flow for purifying exhaust gas discharge,"dual path flow, exhaust gas discharge",,"dual path flow, exhaust gas discharge"
valve arrangement configured to regulate the flow of exhaust,"valve arrangement, flow, exhaust","valve arrangement, flow, exhaust","valve arrangement, flow, exhaust"
at least one sensor configured to sense a parameter indicative of a constituent of the exhaust,"sensor, parameter, constituent, exhaust","sensor, parameter, constituent, exhaust","sensor, parameter, constituent, exhaust"
controller in communication with the valve and the at least one sensor,"controller, communication, valve, sensor","controller, communication, valve, sensor","controller, communication, valve, sensor"
internal combustion engine,internal combustion engine,internal combustion engine,
engine manufacturers,engine manufacturers,,engine manufacturers
