Document,Topic,Max_Probability
high localized shear and pressure stresses on the patient,40,1.0
user compliance with a pre-determined medication schedule,1,0.27677083770579863
varying levels of disruption to the culturing environment,17,1.0
instability when used with foot surgeries,-1,0.05933532116456817
"40,000 reported cases of incidents with walkers/walking aids per year",25,0.013376506383881494
limiting registered locations for mobile devices,-1,0.07976373239812859
lack of interoperability between departments,-1,0.014703765332597877
potentially dangerous situation,-1,0.09728910207298144
insurance costs may prohibit live-in caregivers,0,0.16451997319266126
challenges as families are often no longer living near one another,-1,0.03244868329056657
poor response to fsh stimulation,9,1.0
bent back of the carer,-1,0.015972864329517236
sick leave,32,1.0
need for monitoring systems,5,0.347447200919949
victim may still be fearful that the abuser is following him or her,50,1.0
40% of people entering nursing homes do so because they are unable to self-medicate,0,0.14248861565886875
need of assistance in being seated slowly,41,1.0
neurological illnesses that impact locomotive responses,10,1.0
apps usually require complex setup through the host smartphone,3,0.16949058556294141
wheels may make the ambulatory assist device move more quickly,31,0.17105780658495007
battery,37,1.0
not covered by insurance,15,0.03766784648477328
"4 or more visits over a short period, such as 2 weeks, for monitoring of her hormones",9,0.22353619694315646
little or no lower limb mobility,55,1.0
can cause anxiety when the person being checked on does not respond,-1,0.004676547307910199
technical hurdles to emergency calling,23,0.26215480217931897
transitioning from a sitting position to a standing position,41,1.0
person's emotional state,0,0.11775812527366183
farmers often lack relevant and up-to-date information,3,0.40632853959862075
tendency to abort,-1,0.06609518901982667
challenges and drawbacks,3,0.10444621021821837
distress,43,1.0
ineffective outside the province of that disease,32,0.06122730895929329
limited ability to infer behaviors or events,-1,0.0358234079413239
"conventional pers may also collect information on vital signs, such as heart rate and heart rate variability",5,0.18122011581969003
risk of experiencing a medical emergency that goes undiscovered,8,0.18158003459276742
demands on communication processes,-1,0.019656062096846536
timely monitoring of the health data,5,0.23851588672412943
inability to initiate basic weight bearing and muscle rebuilding,51,1.0
ivf or egg freezing can require as many as 9 or more visits to the doctor's offices,42,1.0
number of seniors is rising faster than the younger caregiving population,4,1.0
acute sensitivity,-1,0.16838843272806694
fixed length of cane or crutch may upset a balance,-1,0.03238134223466613
large number of hospitalizations,28,0.20973696280945636
effects of aging,4,0.08260059917003931
no identification of other persons spending time with the person of interest,-1,0.03331230367153003
"loss of limb strength, flexibility, sensitivity or range of motion",55,1.0
current e911 architecture is unable to provide dispatch-quality location on enough calls,23,0.5090071907987044
blocking of voip-based or other network-based emergency calls,23,1.0
may not be discovered in a timely manner,-1,0.012040257446565278
home visits of nurses which are of sporadic nature,0,1.0
restricted in the variety of exercises they are capable of performing,-1,0.019428680261457512
periodic patient transfers,-1,0.0159662301548003
technical complexity,3,0.16300706955871297
tubal or unexplained infertility,12,0.21432763090622123
health related emergencies,8,0.3144134398333
endometriosis,9,1.0
costly ongoing fees for monitoring,5,1.0
elevated estradiol,9,0.3439284145617209
need for his or her weight to be completely supported by the strength of the legs,-1,0.028281234068431322
uncertainty in the functional viability of oocytes or early embryos,7,0.15840685344562605
need of assistance in helping them to stand,-1,0.02192064892719228
low birth weight in infants,11,0.13685162950978905
senior hospital admissions,1,0.015185783566832036
application of physical pushing and/or pulling forces to the bed-ridden person,27,1.0
decreased mental capacity,10,0.23622462121801224
need for monitoring the activities and wellbeing of individuals with special needs,5,1.0
parents are faced with additional challenges in managing the risks,39,1.0
budgetary or insurance restrictions,15,0.056423853888539925
dehydration,-1,0.01674530927003628
joint degeneration,-1,0.030783840730983756
"conventional monitoring systems do not detect falls in real time, or predict a risk of a fall",2,1.0
total specificity,3,0.1890170143398274
non-compliance costs more than $100 billion a year,28,0.029868628556170226
relatively expensive and have additional components prone to breakage,-1,0.022981248925134673
need for a system that assists remote living children,0,0.03332092745827385
increased costs,15,1.0
cannot get immediate help,6,0.15377920604065415
no one else to help them after they fall down,2,0.17191696268137507
not compact,29,0.5501480779366414
inactivity,19,0.07853356039850046
"current products on the market are bulky, cumbersome, and expensive",29,1.0
inability to trigger emergency button,24,0.03745985014271294
high probability of getting into the emergency situation,8,0.3310955829589829
life threatening or fatal outcomes,49,1.0
limited functionality of these technologies,3,0.1459951646095359
threatening,13,1.0
require a large or specialized vehicle for transport,62,1.0
limited success in treatment of various stressors,-1,0.0243817108138973
"people who are vigorous, and for unknown reasons have a fall or stumble across a piece of furniture or something else",2,0.2069377772203702
disturbance of the normal menstrual cycle,9,0.30353334251856845
costly move to a facility,62,0.06685466693075334
impairment of tactile senses,10,0.2281761305550164
high rate of false alarms and miss-detects,24,1.0
inconvenient to the user,18,1.0
perceived need for a prisoner tracking and control system,-1,0.052806389084603014
"bulky, cumbersome, uncomfortable, and embarrassing devices",-1,0.028597734823788884
inconvenience and pain from joint problems,36,0.09891335146608853
current automated camera-based systems do not provide adequate functionality,35,0.03947418282703549
tornado sirens routine and ignored,24,1.0
current selection procedures,3,1.0
needs of the patients,0,0.14909573331140338
inability to balance and hold their upper torso upright,-1,0.023968555476703884
dangerously combining the medications with other medications,1,0.4344768402229564
aging workforce,4,1.0
10% of hospital admissions related to medication issues,1,0.039353228328895894
need for a portable apparatus for ease of transportation and use,47,1.0
epidemic shortage in the nursing workforce,0,0.12126085469940551
not always implemented in a fashion that well suits the needs of the expected user population,18,0.06907060735032765
leg is left on the belt of the treadmill,-1,0.030421242205723138
increased use of the medical system,28,0.03547149182747923
software viruses and other malware can result in crashing of the device,37,0.12575126429183844
estrogen withdrawal symptoms,9,0.2066595992063214
storage problem,-1,0.03474831481529152
distraction in the elderly,4,1.0
burden on healthcare staff and professionals,0,0.19456258700888487
people go missing,-1,0.0516391502398953
privacy issues with invasive systems,-1,0.006799453857313836
wearable devices cannot recognize the human body positioning and posture,45,1.0
difficult to maintain in stable configurations,-1,0.025626313225735532
wearable pers are used mainly after experiencing a fall,2,0.2036860834420313
difficulty to remember if one has actually taken a pill,1,0.40568562558985144
need for his or her weight to be completely supported by the strength of the arms,-1,0.060622102869938535
geometry of these devices places the users' body in a position which is not naturally balanced,26,0.05233658198145251
mechanical transfer devices require considerable strength to manually operate,20,0.0800618667995126
polypharmacy,1,0.5463085905535495
wrist strain and backaches,30,1.0
risk of potentially dangerous multiple births,11,0.15415011359725309
existing systems rely on the psap requesting location updates through a “re-bid” process,23,0.32981389623878193
worse physical conditions,17,0.17540061203172413
failure to incorporate social connectivity measures,16,0.1038395782967802
weakness,-1,0.029527750158510634
used in the event of an emergency,8,0.39895624462903967
"stress, physical and financial strain, and adverse impacts on their health",-1,0.06981780193286531
tipping,-1,0.04810492880880598
limitations of known walking rehabilitation equipment,31,1.0
obstacles to normal fertilization,12,0.11776380046338261
significant hazard to the resident,61,0.4775560862883694
loss of stability,-1,0.02373136700705453
"constant, uninterrupted monitoring is impractical",5,1.0
not well adapted to assist the elderly or incapacitated to walk,31,0.11660421172088159
general debility problems,3,1.0
not designed for a home setting,0,0.0718604422534351
reckless driving,14,0.08665294699583363
inability to accurately determine the geographical origin of a voip-based emergency call,23,1.0
unexplained male infertility,12,1.0
dependency,0,0.540024562419085
high rates of multiple pregnancies,11,0.12151480193149672
expensive automated riser chairs,57,0.14188150306170227
carrying their complete body weight,-1,0.031787721058194295
increased disease and disability rates,-1,0.008441082260522951
trisomic pregnancies,11,0.3541457104899971
emergency situation could be overlooked,8,1.0
muscle and ligament pulls or tears,30,1.0
severely impact quality of life,49,0.15583543413086
muscle strain,30,1.0
position of the strap on the overhead bar is not secured,-1,0.046253287784560136
abnormal or dangerous events,-1,0.05309183150734119
decrease in the number of employers offering defined retirement benefit pension plans,46,1.0
psychological consequences,43,0.10530614207880423
non-compliance with a prescribed regimen of one or more medications,1,0.2670341120582413
diminished ovarian reserve,9,0.4736766008373953
interfere with the user's legs or feet,26,0.05556174281773024
may cause stress and/or injury to the user,-1,0.01951715134515486
falls occurring within a continuing care retirement facility,2,0.289787564492083
"severe and sudden declines in orientation, awareness and responses",-1,0.016221613913832346
high psychological effects of fear,43,0.09163963961548645
worker's compensation case,-1,0.059180132414897293
previous falls are a strong indicator of the potential for future falls,2,0.3433333302862317
conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,2,0.449245531511197
short-range transport capability,62,1.0
hopping,66,1.0
existing personal emergency response systems are wearable devices,8,0.11941880103605826
"high incidents of injuries to their backs, muscles or ligaments",67,1.0
critical information kept in silos,-1,0.01927180666209509
great personal distress,43,1.0
medical emergency such as a heart attack or a fall,8,0.2103564458302543
can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,17,0.17122134385188229
challenges in caring for older people,4,0.20004338458683968
vulgarity,13,1.0
"patient falling backward, or to the side",2,1.0
reducing false-positives,69,1.0
non-weight bearing status due to lower extremity injury or surgery,-1,0.0703490422998895
total care due to paralysis,-1,0.026998767873568218
success of these treatments is low and unpredictable,-1,0.0072326146499584664
call connect time is critical,23,0.49296340801375377
lack of opportunities,22,0.08034049742598018
expensive solution,22,0.30179093393140266
invalid stigma,-1,0.025684755564124664
several unreliable components,54,1.0
repeated removing/reattachment wears down both the device and patience of the user,37,0.08536133606735409
integration of the devices is lacking across the continuum of basic life activities,3,1.0
toil and time experienced by helpers,6,0.06307873587825628
limited space for the users' feet,53,1.0
about one third of the adults ages 65 and older experience at least one fall,2,1.0
deterioration in health status,17,1.0
difficulty to get up from an item of seating furniture,27,0.05384110830043865
on-line predators,39,0.03850458421171088
medication noncompliance,1,0.2294134578342395
users must still change their focus whenever they wish to view the projected image,35,1.0
need of care,0,1.0
current falling detection system is not convenient in usage,2,1.0
repeated failure,38,0.2968206363679127
high incidence of mosaicism and aberrant phenotypes,65,1.0
mortality rates and suffering for both infant and mothers,11,1.0
"caring for aging, sick, and/or mentally or physically challenged friends or loved ones",4,0.08218394477854885
wearable device is not being worn by the user,45,1.0
limitations of the nurse's physical strength,-1,0.0873122220697342
increased number of mobility impaired people living at home,34,1.0
individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,-1,0.014329444165673617
slipping accidents at home,63,1.0
50% of prescribed medications are not taken as directed,1,0.30019058266030413
high demand for elderly health care services,4,0.04283544576608047
lack strength in the waist and legs,51,1.0
bulky configuration,29,1.0
decreased range of motion,21,0.021374859819888604
presence of adequate care providers is not continual,0,0.14759960383688614
"lack of devices and systems that allow monitoring of a person in an accurate, convenient, unobtrusive, and socially acceptable manner",5,0.07457795797859995
nutritional homeostasis,58,1.0
traffic congestion,14,1.0
complex central monitoring units,5,1.0
complicated mechanisms making the folding of the walker difficult,25,1.0
resulting bed sores,40,1.0
humiliating,13,0.2721568868760002
minimal or substantially no human input,6,0.041911100271521305
high economic burden on the patients,28,1.0
risk of being injured without a way to contact help,-1,0.08564374212170049
neurological physiological functionality,10,1.0
disabling conditions,-1,0.04332050586038339
current technologies available allow for a person to be capable of finding assistance themselves if they are away from those locations,6,0.025614545576508004
great concern and worry on the part of the caregiver(s),0,1.0
"presence of a nurse, assistant, or doctor is necessary",0,0.16077488926822248
subjective assessment of static morphologic criteria,-1,0.019734847375141237
ineffective in a home setting with tight walkways and carpet,44,1.0
chronic pelvic pain,-1,0.051047513106224726
"difficult to change their angle of inclination, height, and position",26,0.039251634133406724
individuals that have medical conditions that may require fast emergency response,8,0.3311370826975141
awkward postures required by other methods,26,1.0
fixed activation points,-1,0.029334192051069522
undue expense/strain on the communication infrastructure,71,1.0
ectopic pregnancy,11,1.0
environmental influences such as diet and stress,17,0.3661250333163269
diminished ability to understand concepts or instructions,10,1.0
loading the medications into the equipment,1,1.0
reproductive failure,12,0.09929004635947182
30% of all hospital admissions for people over the age of 65,1,0.021059927626787066
very large amount of data must be transmitted at once,3,0.14411465065884005
freedom of movement is very restricted,21,0.036554454789438987
menopause,9,0.6149724917545423
limitations in the ability of the individual to bend over to pick up an object,-1,0.06409749406416439
follicular atresia,9,0.1495412373351626
canvas sling can cause pain,-1,0.018994355245675693
current camera-based systems cannot provide privacy,35,0.0164733197481753
cumbersome designs,29,1.0
prematurity with potential for long term damage,11,0.12044637289657131
limited depth knowledge about a scene,3,0.10903939560612869
health and developmental problems,39,0.06909203235412431
seat swings down forcing the user to basically stand on their own,41,0.2102074575178638
diminished visual acuity,10,0.22983407633220587
low sensitivity for such known systems,-1,0.02211681799416423
labor intensive,15,0.1459434881017169
no way to automatically control the duration of the red traffic light condition,14,1.0
estimation of user pain level and intensity following a fall event is generally insufficiently accurate,2,1.0
overly simplistic devices that do not provide a complete solution,3,0.15299098946544687
home-based primary elderly care needs technological solutions,0,0.10324427235252415
unable to move without the combined efforts of at least two people,21,1.0
conventional monitoring devices do not include such function,5,0.20700549013289282
tracking errors,-1,0.018783375963001604
patients sometimes refuse to be shifted,52,1.0
health and/or wellness-related issues,-1,0.028366025504983787
"non-compliance is directly responsible for the admission of 380,000 patients to nursing homes each year",0,0.04108872005376998
"if the user is unable to activate the input, no assistance is summoned",6,0.09389929511101698
fascia surrounding the muscles and the joints becomes tight and less flexible,30,0.17349409461688003
poorly predictive morphologic criteria,7,0.024518500624079415
mobile phone lying in a ladies handbag is so useless for triggering an alarm,24,0.2776453555320925
targeting an individual,50,1.0
patient safety issues,-1,0.020588029911447966
potential confusion to less-functional users,18,0.14319079264551973
skin tears,-1,0.027992960044225263
elder distress,4,0.15118355072886552
difficulty in standing up and sitting down,41,0.12356380294345347
lack of real time remote visibility for caregivers,0,0.4777930450547051
not capable of supporting and producing a viable blastocyst stage embryo,7,0.07616689007139252
physiological complications associated when unable to perform certain tasks unassisted,-1,0.011893069688652865
hypertensive disorders of pregnancy,11,0.4938830249685453
pressure sores,40,1.0
reliability of these devices can also be limited,3,0.13072988769400595
expensive and/or complex to execute,22,0.28433500866884354
necessity for patients to leave the home environment and enter a nursing home,0,0.369894929665692
average rate of compliance for patients on chronic therapies is about 50% after one year,1,0.03303118710549136
risk of cerebral palsy or lifetime disabilities,10,0.17148349191746742
long term usage of wearable devices might lead to user skin irritations,45,1.0
increasing disabilities associated with pregnancy/delivery,-1,0.11485902332918836
elderly facing physical and/or mental decline,4,0.11795730854064942
potential injuries to the invalid,-1,0.18266698148872462
unstable motion that does not maintain postural alignment,26,0.07519056973999742
number of people in need of home healthcare,0,1.0
disabled or injured people who do not have full use of their legs,55,0.09519424024665538
post-surgery,-1,0.04579427922924982
significant amounts of time may elapse before they are discovered,-1,0.011088680137469203
up to 75% of patients who fall do not recover their pre-fall level of function,2,1.0
inability to manage medications,1,0.45155278194391996
heavy materials,47,0.4237230491701797
sensors in the systems can be used for only one functionality,48,1.0
hinder maneuverability,-1,0.017220553417774703
overall shortage of such providers,22,0.17683465634576964
requires lifting and advancing the position of the device repetitively,20,0.06639672465733054
physically incapable of exercising and stretching without assistance,51,1.0
average live-birth rate for an ivf cycle is approximately 1-in-3,42,1.0
"limited in that if a patient travels too far from the base unit, then the remote transmitter becomes out of range",-1,0.026384077216783316
lack of recognition of food preparations,58,1.0
need for frequent hormone determinations,9,0.3560579936244971
maximal reliability,-1,0.02805066930459462
falls down,2,0.25708122416057555
no automated modification takes place after a perceived or measured state of the user,-1,0.018657883427265678
left unprotected in the event that they want to go out,-1,0.05535665790129531
orientation or posture,26,0.21194922248483883
constant need to closely monitor the physical condition,5,0.43218281653116714
substantial limitations to such walkers when the user encounters anything other than even surfaces,25,0.3301487573504854
challenges exist in keeping people healthy and functionally able as they age,4,0.2246101326509423
most senior citizens live alone and require constant monitoring of vital activities for timely detection of abnormalities in health,5,1.0
unsuitable for use on stairs,44,1.0
loss of integrated central nervous system functions,10,0.16950047155211406
an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,24,0.03542891410077483
congestion,14,0.288870757998771
suicidal thoughts,43,1.0
increased weight of the transfer device,-1,0.019022221091563592
significant financial and logistical burden on the health care system,28,1.0
dangerously high or low blood pressure,-1,0.09880663409718377
heavy movement of getting the patient's legs up in bed,27,0.17991819761389102
time spent alone on the floor due to a lack of desire or ability to call 911,-1,0.039196998553889965
injections can be complicated and uncomfortable,-1,0.04770101989040845
expanding medical bills,28,1.0
issues in fall prevention,2,0.22073067397331836
multiple medications with different prescribed dose frequencies,1,1.0
difficulty in moving a person from a prone position to a seated position,41,1.0
manually activated systems,-1,0.02560853414569606
difficult and expensive procedure,22,0.13070338277272683
circulatory problems,-1,0.03533504581271724
lonely and disabled existence,16,0.11481541178828607
high search and rescue costs,15,0.463442217091669
lack of accurate means to evaluate embryo health and quality,7,1.0
child voluntarily posts personal information,-1,0.03250867048823993
skin breakdown,-1,0.017321324191379092
health-related problems affecting retirement income needs,46,0.38862584696106284
do not allow for normal gait,31,0.1473520656590398
changing topology of the cell mass due to the cell division/and or cell movement,-1,0.03453850190059712
may require help at certain times,6,0.054077296456923156
result of a kidnapping,-1,0.03316730678162431
difficulty with following cooking/preparation/eating directions,58,0.18090322809113743
discrimination,13,0.07074660280333638
child predators frequently instruct the child not to inform their parents,-1,0.044781732866374296
distinguish between individual occupants in a space and multiple occupants,6,0.017146652987571964
where they have fallen,2,0.12816104179496954
existing location technologies rely on the network to identify the dispatchable location,23,1.0
epileptic seizures,10,1.0
security,-1,0.03618689353393277
97% of pers subscribers never activated a response service after falling,8,1.0
user may be positioned uncomfortably,26,0.17122536930775056
multiple people are present in the same room,6,0.017805252436995763
typical weight of any adult far exceeds the lifting capacity of most caregivers,20,0.027742031228785814
child related risks,39,0.19131314904864144
samples are constantly moving thus being disturbed in their environment,48,1.0
long term conditions such as depression or dementia,-1,0.020845762279873517
difficulties in the physical handling of patients,52,0.13608826868953156
blastocyst transfer is still controversial,-1,0.061178015026108166
20-30% of medication prescriptions are never filled,1,0.23823866115675368
chronic diseases such as parkinson's disease,17,0.07100889610606714
subject to human error,38,0.24399564731066375
front leg is hinged to the rear leg to enable steering of the rolling cane,25,0.02299868742473838
lack of access to transportation or a caregiver to collect their medications,0,0.09492512846819737
bulky and/or may be unstable lifting apparatus,20,1.0
individuals fall in their private residences,2,0.19924940664934981
lack of indication of inappropriate persons near the person of interest,-1,0.028687013676983255
physical abuse,13,1.0
lack of distinct visual features,-1,0.029266810376488407
adverse drug reactions (adrs),1,0.028925495107542335
emergency communications systems were completely destroyed,8,0.09471011811067771
increasing risks of people failing to notice deterioration in the health of the elderly living alone,16,0.051513826902563585
lack of solutions,3,0.08955158365211367
strenuous task of moving a patient horizontally between two supporting surfaces,-1,0.13967567561786756
insufficient data from practical sensor placements,-1,0.03374822595657117
higher prevalence of aneuploidy in older women,65,1.0
difficult to expect their complete recovery,-1,0.0046869789387772014
time-consuming to initiate many phone calls,23,0.16208284848195761
safety of loved ones alone at their homes,16,1.0
abduction,-1,0.018602860153397682
weak leg strength,-1,0.08032247126761045
child safety and well-being,39,1.0
hazards for older individuals,-1,0.009809461649769495
fear of invasion of privacy,-1,0.023827125781400952
unequal load between the persons,20,0.034871987857075515
stress current facilities and resources designed to care for elders,4,0.11093511890184082
psychological and physical ailments,-1,0.05899181420310935
awkward to use,64,1.0
current network is not designed to have the device push a location directly into the network,23,0.4071587465849566
"multiple causes such as injury, disease, partial paralysis, balance issues, excessive weight, advancing age and other limiting conditions",51,1.0
environmental factors,17,1.0
dependence upon the delivery of home health and general care,0,0.3394529106634291
not easy for a carer to move a patient from a sickbed to the movable bed,27,1.0
30% of all hospital admissions for people over the age of 65 are directly attributable to medication non-compliance,1,0.038129082296405714
up to about 15 percent of these falls leading to serious injuries and death,2,0.18651421201638196
accidental pulling of the device,-1,0.031344700905175375
transmission of private information to remote server,-1,0.006692055323455594
find it difficult or impossible to rise to their feet,-1,0.020928576897190805
identifying deteriorating conditions,17,1.0
device must be worn or be accessible by the subject at all times,45,0.07075023801066273
children,39,1.0
adverse health outcomes,-1,0.08227345630530851
not fully adjustable to accommodate user support of different size or structure,53,1.0
monitoring persons in rooms of a caretaking institution,5,0.47694662615952554
non-foldable rigid frames,53,1.0
none disclose the unique features of the present invention,3,0.10349178743957885
insufficient sperm motility,12,0.3708952682844904
arthritis and/or orthopedic impairments,36,1.0
large component housings in personal impact protection systems,54,1.0
accidentally forget the walking instrument,63,1.0
failure to account for the phenotypic traits of those women,-1,0.1488341675027782
muscular pains,30,0.16344654291417485
assistance with moving around,21,1.0
high patient-to-staff ratios at assisted living facilities,0,0.10816069077875362
increase in age-related diseases,4,0.047716071743711654
hinder participation in normal life activities,19,1.0
forward bending required for many individual-lifting and moving activities,20,0.019324825040298515
potential of tampering with the pre-filled medication tray,1,1.0
minimum amount of wear time is required for valid assessment of physical activity,19,0.06329540496988713
pets straying too far from a home location,0,0.04249221428743183
when medical symptoms arise,32,1.0
anguish and reduced confidence in mobility,34,1.0
temporarily or permanently totally disabled,-1,0.02125815835563594
creating a distance between walker and user,25,0.24916678571832157
fastest growing population in the us,4,0.2525737836602397
subject-activated means for requesting emergency assistance,8,1.0
acute or chronic conditions impact a person's abilities to manage independently,-1,0.03933000551390913
protection of ambulating individuals,-1,0.02021843069840117
at risk persons may be prone to certain emergent events,-1,0.09805193312979527
increased cost of care of disabled persons,-1,0.023159419110467035
passive influence on that person's mobility level progression,34,0.555886112422456
formation of the placenta in early pregnancy,11,0.6159558287992768
pain solely from the physical handling and lifting,-1,0.052070503757425154
too costly for the home user to acquire,-1,0.030558305415414076
damaged or absent fallopian tubes,-1,0.0661219626724635
delay in emergency response times,8,0.1117787929843683
increased risk of fatal accidents without the walking instrument,63,1.0
difficulty in grasping a handle or other brake mechanism,-1,0.03720527574370677
active participation of the wearer,19,0.027872764961584518
controlled sequence of movement,21,0.031581116785083
"do not provide adjustments for stairs, curbs, sidewalks, and other ground obstacles",44,0.25853048293494785
limitations associated with conventional systems and methods,3,1.0
loss of appetite,58,1.0
population needs continuous medical supervision and care,-1,0.023149849426359285
seniors are also subject to alzheimer's disease,4,0.04163545494549045
"complicated, one piece seats",-1,0.07803873502490033
decreased independence,16,0.08395852584786166
aiding the elderly to live in their own homes,-1,0.03098118180688246
inconsistent results,38,1.0
must be frequently lifted and transferred,20,0.24708363382109233
cost and availability of home care,0,1.0
recognizing deviations from normal life patterns that indicate the need for assistance,-1,0.010889299829697668
co-morbid conditions that interfere with their adherence to medication regimens,1,0.18062195322554342
"caregivers may not be able to provide a complete, accurate and consistent monitoring",0,1.0
cyber bullying,13,1.0
current devices require complex communication systems,3,1.0
lack of compliance logging and monitoring system for routine activities,5,0.09633150169764694
patients often become forgetful,10,0.10377969457877434
learning curve associated with these systems,-1,0.05915710659995843
unviable embryos,7,1.0
confusion and error,38,1.0
physically challenged individuals,-1,0.293069661768918
limited ability to safely exit from the chair,27,0.11308196684312596
chromosomal abnormalities,65,1.0
labor-intensive and costly intervention programs to improve medication compliance,1,0.07583482811529493
weather factors,17,1.0
insufficient production or secretion of follicle-stimulating hormone,9,0.14467066598053213
risk of early death,-1,0.03229907889292606
passive unit-carried devices providing no distance and direction capabilities,62,1.0
decrease in maximum heart rate,-1,0.01432816111683196
arduous adjustment process,-1,0.017742078535880477
pneumonia,56,1.0
wearable alert systems,24,1.0
premature lh surge,9,1.0
lack of ability to communicate their need for help,6,1.0
self-inject medications at least 19 times in a two-week period,1,1.0
obtaining indicators for selecting embryos,7,1.0
damaged trains unable to communicate,-1,0.013801407947760894
hypothermia,-1,0.06028022013880032
inactivity caused by general depression,43,0.15243546795165513
conventional rolling walker does not have dedicated feet support elements,25,0.40567990849214175
care for individuals suffering from other dementias,-1,0.014386191526663143
drawback that they must be raised by a user with each advancing step,18,0.04316580445623501
"serious injury, such as hip fractures and head trauma",59,0.16365256315508273
hip replacements,36,1.0
expensive retail merchandise susceptible to shoplifting,-1,0.06920702289827006
fire death risk among seniors is more than double the average population,46,0.010057720397646438
poor development,22,0.08310799085507534
limited connectivity and features,3,0.1462616133178278
abnormal situations,-1,0.04421771625443229
children or scuba divers being left behind,39,1.0
conventional monitoring systems require a user to push a panic alert button,24,0.06683301102691319
risk exists for anyone who spends long periods alone,16,0.0856039387538521
walking sticks also suffer from the drawback of being unattractive,31,1.0
unsuitable for many health care facilities and home care situations,0,1.0
patient needs to be in close proximity to see the lights or hear the beeps,5,0.049482152798873025
lack of standardized method of coculture,-1,0.008877730800979932
transferring from the bed to the wheelchair or a shower chair requires a lot of external help,27,0.26447270741113693
accurate ppg assessments require close contact between a light source/detector and the user's skin,5,0.04922389534636797
time consuming and difficult to incorporate in the daily routine of ivf clinics,42,0.5880689197739212
self-management is not effective in preventing injuries and fatalities to pedestrians,63,1.0
discomfort for an individual wearing the system,64,1.0
large burden on the care giver,0,0.21150757331607037
rely on a wearer to push a panic button,24,0.049326803630986356
emergency pendant,8,1.0
arduous for someone required to stand on only one leg during the adjustment process,-1,0.08012160481461106
traffic collisions,14,1.0
panic or confusion,-1,0.029245738272709806
under-using the medications,1,0.4412531884363611
discourage an individual from using his or her own strength and muscles,70,1.0
need for a technique to improve the chances of successful pregnancy,33,0.2509579033306641
bruised or broken bones,59,1.0
"difficulty or dangerous to the patient, medical staff or family to try to stand the patient",52,1.0
hopping can be difficult or impossible for some older or heavier individuals,34,0.025685435703053993
memory loss increasing with age,-1,0.04425974781745578
not provide an enclosure to essentially surround the person,6,0.021251729895520533
many more emergency or potential emergency situations that do not involve a fall event,8,0.14984273261451922
emergency is often located in another jurisdiction,8,1.0
antiquated radio system,-1,0.08121459862247152
tendency to marry later,33,0.20124920075391753
offset existing between the center of the hip joint and the actuator,26,0.10216348678419779
risks the device being lost,-1,0.07577429248060052
immature eggs (oocytes),7,0.04310683607937632
mobility restricting girt,34,0.0741692223647053
additional components prone to breakage,54,1.0
high priced medications and opioids are typically securely packaged,1,0.7761004464020719
limited collapsibility,29,0.06500367750668222
increased risk of falling,2,0.20791560669229195
lack of facilities within the home,0,0.1803672503244748
misbehavior of road users,14,0.2788936415492278
little assistance for the ‘home patient’ in managing multiple prescriptions,1,0.2864558167150489
privacy of the user,-1,0.02423405039790233
severe depression,43,1.0
event affecting a monitored person,-1,0.016759507072593424
inability to ascertain geographical location,23,1.0
risk of unknown infection,56,1.0
resulting bone fractures can require lengthy and costly treatment,59,1.0
embryo development may not be enhanced during the culturing,7,0.7140688320907111
quick opening and closing systems do not always resist,-1,0.020139853670835674
invasive biopsy,-1,0.039525989392674925
"employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly",-1,0.029046917387655035
iv pull,-1,0.03633518457375616
use of a crutch also makes it hard to carry articles,-1,0.026037880538168648
demographic shift to the overall population,4,0.31561533559839494
no facilities for continuous monitoring of the patient,5,0.21459650629976454
difficulty performing activities of daily living,19,0.37090335431951754
the need to change one's focus from a distant object to a nearby object takes time,35,0.26925763019768134
very limited addressable market,-1,0.10731997703391542
recent falls,2,0.1650492282869462
60% chance they will fall again within a year,2,0.2254915742203501
difficult even for the nursing staff to raise the person,0,0.08070896997521047
stroke,-1,0.025058309080814186
only be used to rest,-1,0.02773368232795733
content unapproved by parents,39,0.05153858698611851
disadvantages of the prior art,3,0.0802954874692929
limited information provided by the system,3,0.22575070401873942
different lifestyles and habits,-1,0.023824637597050592
accidental and unintended injuries,-1,0.04775391621349472
ability of self care,0,1.0
burden of care,0,1.0
"bending or leaning conflicts with a correct, erect human posture",26,1.0
caregiver may be required to lift the user,0,1.0
prior art devices fail to include a monitored unit comprising an ankle bracelet with an electroshock mechanism,24,0.03589139770063953
reduced accuracy of relevant information,3,1.0
no motion for an extended period of time,21,0.02331351226615586
injury risk or awkward uncomfortable embraces,60,0.15833850802530897
stability and preventing a physically challenged user from falling forward,-1,0.06407170245021092
many people living alone are either too healthy to transition to an assisted care facility or lack the financial resources,0,0.11342979355330139
machines benefit from being capable of being located indoors,47,0.09182811547385913
common health problem,72,1.0
lack of real time localization,23,1.0
dangerous mental or physical conditions,-1,0.054058290686368915
lifts are often large and heavy,20,0.3683123336715302
unscrupulous people,18,0.07649427452063927
patient signaling options and transceiver functions making systems complex and expensive,-1,0.028073512062465222
