representative,synonym,group_size
current technologies share certain drawbacks,current technologies share certain drawbacks,1
current traffic regulation systems present several drawbacks for slower moving people,current traffic regulation systems present several drawbacks for slower moving people,1
current walkers are rigid,current walkers are rigid,1
current walkers do not provide assistance in both rising and walking,current walkers do not provide assistance in both rising and walking,3
current walkers do not provide assistance in both rising and walking,devices do not facilitate walking where possible,3
current walkers do not provide assistance in both rising and walking,need to rely heavily on leaning on a walker,3
current walkers may often require several nurses or physical assistance personnel,current walkers may often require several nurses or physical assistance personnel,1
cyber bullying,cyber bullying,1
damage to their bodies,damage to their bodies,1
damage to users due to poor ergonomics,damage to users due to poor ergonomics,1
damaged or absent fallopian tubes,damaged or absent fallopian tubes,2
damaged or absent fallopian tubes,tubal disorder,2
damaged trains unable to communicate,damaged trains unable to communicate,1
danger of an overdose,danger of an overdose,1
danger of preparation errors,danger of preparation errors,1
dangerous condition,dangerous condition,3
dangerous condition,dangerous mental or physical conditions,3
dangerous condition,potentially dangerous situation,3
dangerous when used to traverse any more challenging terrain,dangerous when used to traverse any more challenging terrain,1
dangerously combining the medications with other medications,dangerously combining the medications with other medications,1
dangerously high or low blood pressure,dangerously high or low blood pressure,2
dangerously high or low blood pressure,dangerously high or low pulse rates,2
risks associated with multiple gestation pregnancies,dangers of multiple pregnancies for both the mother and the neonates,3
risks associated with multiple gestation pregnancies,risk of potentially dangerous multiple births,3
risks associated with multiple gestation pregnancies,risks associated with multiple gestation pregnancies,3
dangers that can potentially harm a large number of people,dangers that can potentially harm a large number of people,1
mortality,death,2
mortality,mortality,2
debilitated due to accidents,debilitated due to accidents,1
debilitating aging-related musculo-skeletal conditions,debilitating aging-related musculo-skeletal conditions,3
debilitating aging-related musculo-skeletal conditions,degenerative conditions resulting from aging or disease,3
debilitating aging-related musculo-skeletal conditions,musculoskeletal deterioration,3
decline in a number of cognitive domains,decline in a number of cognitive domains,2
decline in a number of cognitive domains,reduced cognitive capabilities,2
decline in both musculoskeletal and physical function,decline in both musculoskeletal and physical function,1
decline in egg quality,decline in egg quality,2
decline in egg quality,decreased egg production,2
deconditioning from cardio-pulmonary issues,deconditioning from cardio-pulmonary issues,1
decrease in the number of employers offering defined retirement benefit pension plans,decrease in defined benefit pension plans,3
decrease in the number of employers offering defined retirement benefit pension plans,decrease in the number of employers offering defined retirement benefit pension plans,3
decrease in the number of employers offering defined retirement benefit pension plans,decrease in the number of employers that offer defined retirement benefit pension plans,3
decrease in maximum heart rate,decrease in maximum heart rate,1
decreased mobility,decrease in mobility,9
decreased mobility,decrease in mobility or cognitive ability,9
decreased mobility,decreased activity,9
decreased mobility,decreased mobility,9
decreased mobility,further deterioration and decline of mobility,9
decreased mobility,lack of mobility,9
decreased mobility,mobility decreases,9
decreased mobility,reduced mobility,9
decreased mobility,reduced mobility conditions,9
decrease in muscle mass,decrease in muscle mass,1
decreased functional capacity,decreased functional capacity,2
decreased functional capacity,decreased mental capacity,2
decreased independence,decreased independence,1
decreased level of physical activity,decreased level of physical activity,1
decreased quality of life,decreased quality of life,3
decreased quality of life,impact quality of life,3
decreased quality of life,severely impact quality of life,3
decreased range of motion,decreased range of motion,2
decreased range of motion,loss of strength and mobility,2
decreased swelling and inflammation of joints,decreased swelling and inflammation of joints,1
skeletal muscles become weaker,decreases in strength,3
skeletal muscles become weaker,skeletal muscles become weaker,3
skeletal muscles become weaker,weakened muscles,3
defects in spermatogenesis,defects in spermatogenesis,1
degradation in their living functions,degradation in their living functions,1
degradation of the ability to walk,degradation of the ability to walk,4
degradation of the ability to walk,difficulty in independent walking,4
degradation of the ability to walk,inability to stand and/or walk unaided,4
degradation of the ability to walk,rehabilitation for walking,4
dehydration,dehydration,1
delay in determining that the individual has suffered a fall,delay in determining that the individual has suffered a fall,1
delay in emergency response times,delay in emergency response times,1
delaying first aid,delaying first aid,1
delays can constitute a significant safety issue,delays can constitute a significant safety issue,1
demand for various mobility aiding devices,demand for various mobility aiding devices,1
demands on communication processes,demands on communication processes,1
dementia,dementia,2
dementia,onset of dementia,2
demographic shift to the overall population,demographic shift to the overall population,1
dependence upon the care of others,dependence on the assistance of others,2
dependence upon the care of others,dependence upon the care of others,2
dependency,dependency,1
dependent care,dependent care,1
severe depression,depression,2
severe depression,severe depression,2
design has not substantially changed in the last thirty years,design has not substantially changed in the last thirty years,1
design is large,design is large,1
design of the wheelchair may impede freedom of movement,design of the wheelchair may impede freedom of movement,1
detect an event only after it has occurred,detect an event only after it has occurred,1
detection of individual falls,detection of individual falls,3
detection of individual falls,monitoring a person's movements for detecting if the person has fallen,3
detection of individual falls,timely detection of an on-going falling,3
detection time of the system is also limited by battery capacity,detection time of the system is also limited by battery capacity,1
deteriorate with age,deteriorate with age,2
deteriorate with age,physical deterioration,2
deterioration in health status,deterioration in health status,4
deterioration in health status,deterioration of the medical condition,4
deterioration in health status,functional decline of the body,4
deterioration in health status,health status decline,4
falls of elderly individuals,detriments to the elderly,4
falls of elderly individuals,falls in the elderly,4
falls of elderly individuals,falls of elderly individuals,4
falls of elderly individuals,threatening the independence of older persons,4
devastating trisomic diseases,devastating trisomic diseases,2
devastating trisomic diseases,trisomic pregnancies,2
development of a limp or abnormal gait,development of a limp or abnormal gait,1
not vertically adjustable to accommodate users of differing heights,device is not height adjustable for accommodating different sized users,3
not vertically adjustable to accommodate users of differing heights,do not have a height control function to adjust for users of different heights,3
not vertically adjustable to accommodate users of differing heights,not vertically adjustable to accommodate users of differing heights,3
device is subject to frequent charging or battery replacement,device is subject to frequent charging or battery replacement,1
device must be worn or be accessible by the subject at all times,device must be worn or be accessible by the subject at all times,1
devices require the user to hold a handle with each hand,devices require the user to hold a handle with each hand,1
diabetes,diabetes,1
diagnosis of frailty,diagnosis of frailty,3
diagnosis of frailty,frailty,3
diagnosis of frailty,"unmet need in developing devices, methods and systems to diagnose frailty",3
difference in the motion between the human body and the support member,difference in the motion between the human body and the support member,1
different care needs,different care needs,1
different lifestyles and habits,different lifestyles and habits,1
different models for assessing the development potential of embryos,different models for assessing the development potential of embryos,1
differential management of individual embryos,differential management of individual embryos,1
difficult and expensive procedure,difficult and expensive procedure,3
difficult and expensive procedure,expensive and time-consuming,3
difficult and expensive procedure,expensive procedure,3
difficult even for the nursing staff to raise the person,difficult even for the nursing staff to raise the person,1
difficult for one person to lift another without undue exertion,difficult for one person to lift another without undue exertion,1
difficult for smaller caretakers to assist more sizable individuals,difficult for smaller caretakers to assist more sizable individuals,1
difficult for transferring a person to and from the wheelchair,difficult for transferring a person to and from the wheelchair,6
difficult for transferring a person to and from the wheelchair,difficult to move patients between the wheelchair and a second location,6
difficult for transferring a person to and from the wheelchair,difficulties in caring for an individual with limited mobility,6
difficult for transferring a person to and from the wheelchair,difficulty for a mobility-impaired person to transfer themselves out of a wheelchair,6
difficult for transferring a person to and from the wheelchair,moving the user from the wheelchair to a vehicle may be difficult,6
difficult for transferring a person to and from the wheelchair,transferring from the bed to the wheelchair or a shower chair requires a lot of external help,6
difficult if the user is large and heavy,difficult if the user is large and heavy,1
difficulty in moving a person from a seated position to a standing position,difficult in rising from the sitting position to the standing position,11
difficulty in moving a person from a seated position to a standing position,difficult task of moving from the seated position in a wheelchair to a standing position,11
difficulty in moving a person from a seated position to a standing position,difficulties to get up from a sitting position,11
difficulty in moving a person from a seated position to a standing position,difficulty for elderly patients to rise to an erect standing position,11
difficulty in moving a person from a seated position to a standing position,difficulty in moving a person from a seated position to a standing position,11
difficulty in moving a person from a seated position to a standing position,difficulty in standing up and sitting down,11
difficulty in moving a person from a seated position to a standing position,exhausting transition from a sitting position to a standing position,11
difficulty in moving a person from a seated position to a standing position,insufficient strength to lift themselves from the chair to the standing position,11
difficulty in moving a person from a seated position to a standing position,movement required to arise from a seated position particularly difficult,11
difficulty in moving a person from a seated position to a standing position,tiresome transition from the sitting to the standing position,11
difficulty in moving a person from a seated position to a standing position,transitioning from a sitting position to a standing position,11
difficulty to sit down on an item of seating furniture,difficult or impossible for certain people to sit or stand from a seated position on a chair,2
difficulty to sit down on an item of seating furniture,difficulty to sit down on an item of seating furniture,2
difficult or physically challenging for assisting persons to raise,difficult or physically challenging for assisting persons to raise,1
difficult to accomplish arms-forward movement,difficult to accomplish arms-forward movement,1
difficult to accurately access a person's condition,difficult to accurately access a person's condition,2
difficult to accurately access a person's condition,difficult to accurately access and record a person's condition and range of motion,2
difficult to adjust between use on stairs and use on level walkways,difficult to adjust between use on stairs and use on level walkways,1
difficult to assist the fallen person to their feet,difficult to assist the fallen person to their feet,1
"difficult to change their angle of inclination, height, and position","difficult to change their angle of inclination, height, and position",1
difficult to control the patient's weight,difficult to control the patient's weight,1
difficult to deploy and store seats,difficult to deploy and store seats,1
difficult to encourage friends and associates to remain physically active,difficult to encourage friends and associates to remain physically active,1
difficult to expect their complete recovery,difficult to expect their complete recovery,1
difficult to install in many locations,difficult to install in many locations,1
difficult to maintain in stable configurations,difficult to maintain in stable configurations,1
difficult to move and to store,difficult to move and to store,1
difficult to relate to human embryo development,difficult to relate to human embryo development,1
difficult to use,difficult to use,3
difficult to use,difficult to use and ineffective,3
difficult to use,uncomfortable to use,3
difficulties encountered when users' assistants are manipulating the device,difficulties encountered when users' assistants are manipulating the device,1
difficulties finding buyers willing to buy their goods for a fair value,difficulties finding buyers willing to buy their goods for a fair value,1
difficulties in conceiving,difficulties in conceiving,1
difficulties in the physical handling of patients,difficulties in the physical handling of patients,1
difficulties standing by themselves,difficulties standing by themselves,1
medication noncompliance,difficulty adhering to prescribed therapies,9
medication noncompliance,difficulty to adhere to a medication schedule,9
medication noncompliance,failing to comply with pharmacological therapies,9
medication noncompliance,medication non-adherence,9
medication noncompliance,medication noncompliance,9
medication noncompliance,not following medication regimen,9
medication noncompliance,poor adherence to medication schedules,9
medication noncompliance,poor compliance with a healthcare provider or physician-prescribed medication regimen,9
medication noncompliance,poor medication adherence,9
difficulty ambulating,difficulty ambulating,9
difficulty ambulating,difficulty in walking,9
difficulty ambulating,difficulty in walking and maintaining balance,9
difficulty ambulating,difficulty performing activities of daily living,9
difficulty ambulating,difficulty walking without assistance,9
difficulty ambulating,insufficient support for walking independently,9
difficulty ambulating,limitations in the ability of the individual to walk without aid,9
difficulty ambulating,mobility and ambulation becomes increasingly difficult,9
difficulty ambulating,need assistance in standing and walking,9
difficulty becoming pregnant,difficulty becoming pregnant,2
difficulty becoming pregnant,difficulty conceiving,2
difficulty changing position,difficulty changing position,1
difficulty for a patient or a care taker to organize a patient's medications,difficulty for a patient or a care taker to organize a patient's medications,3
difficulty for a patient or a care taker to organize a patient's medications,"difficulty in acquiring, organizing, and remembering to take their medications",3
difficulty for a patient or a care taker to organize a patient's medications,psychologically daunting to face the task of organizing all of the medications,3
"difficulty for a patient to get in and out of a bath, hot tub, or other similar situations","difficulty for a patient to get in and out of a bath, hot tub, or other similar situations",3
"difficulty for a patient to get in and out of a bath, hot tub, or other similar situations","difficulty getting in and out of a bath, hot tub, or other similar situations",3
"difficulty for a patient to get in and out of a bath, hot tub, or other similar situations",difficulty in providing assistance to enable the bather to enter a bathtub,3
difficulty for children to monitor their wellbeing,difficulty for children to monitor their wellbeing,1
difficulty for staff and professionals to adhere to necessary schedules,difficulty for staff and professionals to adhere to necessary schedules,1
difficulty getting into and out of such chairs,difficulty getting into and out of such chairs,3
difficulty getting into and out of such chairs,difficulty to get up from an item of seating furniture,3
difficulty getting into and out of such chairs,limited ability to safely exit from the chair,3
difficulty in grasping a handle or other brake mechanism,difficulty in grasping a handle or other brake mechanism,1
difficulty in handling patients over 300 pounds,difficulty in handling patients over 300 pounds,1
difficulty in maintaining independence,difficulty in maintaining independence,1
difficulty in transporting the lifts,difficulty in transporting the lifts,1
"difficulty or dangerous to the patient, medical staff or family to try to stand the patient","difficulty or dangerous to the patient, medical staff or family to try to stand the patient",1
difficulty or impossible for the individual to safely get back into bed or the chair,difficulty or impossible for the individual to safely get back into bed or the chair,1
difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor,difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor,1
difficulty standing up and sitting down,difficulty sitting and rising from chairs,2
difficulty standing up and sitting down,difficulty standing up and sitting down,2
difficulty to enforce restraining orders,difficulty to enforce restraining orders,1
harder to remember to take a medication,difficulty to remember if one has actually taken a pill,2
harder to remember to take a medication,harder to remember to take a medication,2
difficulty transferring himself from a bed to the chair,difficulty transferring himself from a bed to the chair,1
difficulty walking,difficulty walking,3
difficulty walking,difficulty walking without a walking aid,3
difficulty walking,walking difficulties,3
difficulty with following cooking/preparation/eating directions,difficulty with following cooking/preparation/eating directions,1
difficulty with hearing,difficulty with hearing,1
difficulty with transport of the devices,difficulty with transport of the devices,1
diminished ability to store and retrieve information into memory,diminished ability to store and retrieve information into memory,3
diminished ability to store and retrieve information into memory,diminished ability to understand concepts or instructions,3
diminished ability to store and retrieve information into memory,short and long term memory loss,3
diminished ovarian function,diminished ovarian function,4
diminished ovarian function,diminished ovarian reserve,4
diminished ovarian function,ovarian dysfunction,4
diminished ovarian function,premature ovarian failure,4
patient safety issues,diminished patient safety,2
patient safety issues,patient safety issues,2
diminished production of a number of growth factors,diminished production of a number of growth factors,1
diminished visual acuity,diminished visual acuity,2
diminished visual acuity,limited visual acuity,2
reduced dexterity,diminishing dexterity,3
reduced dexterity,reduced dexterity,3
reduced dexterity,reduced dexterity or upper-body strength,3
the disabled,disability,4
the disabled,functional limitations and disability,4
the disabled,temporarily or permanently totally disabled,4
the disabled,the disabled,4
disabled,disabled,1
individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,disabled or injured people who do not have full use of their legs,2
individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,2
disabling conditions,disabling conditions,1
disadvantage of inconvenience that might happen to the carer moving the movable lift device,disadvantage of inconvenience that might happen to the carer moving the movable lift device,1
disadvantages and limitations of standard devices,disadvantages and limitations of standard devices,1
disadvantages of the prior art,disadvantages of prior art devices,2
disadvantages of the prior art,disadvantages of the prior art,2
discomfort for an individual wearing the system,discomfort for an individual wearing the system,1
discomfort or fear from being stigmatised,discomfort or fear from being stigmatised,1
discomfort to the patient,discomfort to the patient,3
discomfort to the patient,discomfort to the person,3
discomfort to the patient,uncomfortable feelings felt by the patient,3
discourage an individual from using his or her own strength and muscles,discourage an individual from using his or her own strength and muscles,1
discrimination,discrimination,1
disease,disease,1
disease progression,disease progression,1
disoriented senior citizens become missing,disoriented senior citizens become missing,1
disruptive rest periods,disruptive rest periods,1
large difference in height between adjacent stairs,distance separating front and rear legs being wider than a typical stair step depth,2
large difference in height between adjacent stairs,large difference in height between adjacent stairs,2
distinguish between individual occupants in a space and multiple occupants,distinguish between individual occupants in a space and multiple occupants,1
distraction in the elderly,distraction in the elderly,1
distress,distress,2
distress,stress,2
disturbance of the normal menstrual cycle,disturbance of the normal menstrual cycle,2
disturbance of the normal menstrual cycle,ovulatory disturbances,2
do not promote good posture,do not assist in helping the user to maintain the correct posture,2
do not promote good posture,do not promote good posture,2
"do not provide adjustments for stairs, curbs, sidewalks, and other ground obstacles","do not provide adjustments for stairs, curbs, sidewalks, and other ground obstacles",1
do not provide latitude in hand-holds location,do not provide latitude in hand-holds location,1
does not analyze user's patterns,does not analyze user's patterns,1
domestic violence,domestic violence,2
domestic violence,violence and domestic abuse,2
double dosing,double dosing,1
drained battery,drained battery,1
drawback that they must be raised by a user with each advancing step,drawback that they must be raised by a user with each advancing step,1
drawbacks negatively impact one's independence,drawbacks negatively impact one's independence,1
drawbacks to current implementations,drawbacks to current implementations,2
drawbacks to current implementations,drawbacks to existing systems,2
driver error,driver error,1
dysmenorrhea,dysmenorrhea,1
dyspareunia,dyspareunia,1
early miscarriage,early miscarriage,6
early miscarriage,miscarriage,6
early miscarriage,pregnancy loss,6
early miscarriage,prior miscarriages,6
early miscarriage,recurrent miscarriage,6
early miscarriage,spontaneous abortion,6
ease of use,ease of use,1
easy access to information is not available to everyone,easy access to information is not available to everyone,2
easy access to information is not available to everyone,lack of access to information,2
easy operation by individuals with impaired dexterity,easy operation by individuals with impaired dexterity,1
economic costs to the couple,economic costs to the couple,1
economic losses,economic losses,1
economic/psychological burden on a patient,economic/psychological burden on a patient,1
ectopic pregnancy,ectopic pregnancy,1
effects of aging,effects of aging,1
effort required by a care-giver to physically move a bed-ridden person,effort required by a care-giver to physically move a bed-ridden person,1
effort required to move them,effort required to move them,1
elder distress,elder distress,1
elderly facing physical and/or mental decline,elderly facing physical and/or mental decline,1
elderly individuals with physical or mental impairments,elderly individuals with physical or mental impairments,5
elderly individuals with physical or mental impairments,elderly or people with disabilities,5
elderly individuals with physical or mental impairments,infirm or aged persons,5
elderly individuals with physical or mental impairments,older persons or persons with impaired mobility,5
elderly individuals with physical or mental impairments,persons with functional impairments,5
elderly may fall and become unable to move,elderly may fall and become unable to move,4
elderly may fall and become unable to move,elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own,4
elderly may fall and become unable to move,"if a crippled or elderly person falls, often that person cannot get up under their own power",4
elderly may fall and become unable to move,increased risk of falling,4
elderly people often struggle with keeping track of the intake of their medicine,elderly people often struggle with keeping track of the intake of their medicine,1
"elderly person on the floor is uninjured, nevertheless, a call to 911 is typically placed","elderly person on the floor is uninjured, nevertheless, a call to 911 is typically placed",1
"elderly persons are capable of taking care of themselves, but may on occasion, require assistance","elderly persons are capable of taking care of themselves, but may on occasion, require assistance",1
elderly user or a user recovering from surgery may be weak,elderly user or a user recovering from surgery may be weak,1
elders neglect re-wearing when getting out of bed or bath,elders neglect re-wearing when getting out of bed or bath,1
elders' perception and image issues,elders' perception and image issues,1
elevated estradiol,elevated estradiol,1
elopement,elopement,1
embarrassing,embarrassing,1
embarrassment of the fire trucks or ambulance in the driveway,embarrassment of the fire trucks or ambulance in the driveway,1
embryo development may not be enhanced during the culturing,embryo development may not be enhanced during the culturing,1
emergency calls being placed by a person not involved in the emergency,emergency calls being placed by a person not involved in the emergency,1
emergency calls from the hearing-impaired,emergency calls from the hearing-impaired,1
emergency communications systems were completely destroyed,emergency communications systems were completely destroyed,1
emergency is often located in another jurisdiction,emergency is often located in another jurisdiction,1
emergency operator is not proactively notified of location updates,emergency operator is not proactively notified of location updates,1
emergency situation,emergency pendant,2
emergency situation,emergency situation,2
emergency relating to health,emergency relating to health,4
emergency relating to health,emergency relating to security,4
emergency relating to health,emergent health situations,4
emergency relating to health,health related emergencies,4
emergency situation could be overlooked,emergency situation could be overlooked,1
emergency situations,emergency situations,1
substantial economic and emotional costs,emotional cost,3
substantial economic and emotional costs,substantial economic and emotional costs,3
substantial economic and emotional costs,substantial emotional and financial costs,3
emotional effects of infertility,emotional effects of infertility,1
stress of those being cared for as well as the caregivers,emotional stress of caregiving,2
stress of those being cared for as well as the caregivers,stress of those being cared for as well as the caregivers,2
emotional toll negative pregnancy results have on couples,emotional toll negative pregnancy results have on couples,1
emotional toll on hopeful and expectant parents,emotional toll on hopeful and expectant parents,1
emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves,emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves,1
"employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly","employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly",1
endometriosis,endometriosis,2
endometriosis,thin endometrium,2
energy consumption of a motion sensing device,energy consumption of a motion sensing device,1
engineering defects in designing and executing the road,engineering defects in designing and executing the road,1
environmental factors,environmental factors,1
environmental influences such as diet and stress,environmental influences such as diet and stress,1
epidemic shortage in the nursing workforce,epidemic shortage in the nursing workforce,1
epileptic seizures,epileptic seizures,1
erroneous decisions,erroneous decisions,1
"erroneous decisions, such as whether to proceed with ivf using particular embryos","erroneous decisions, such as whether to proceed with ivf using particular embryos",1
essential services being incorrectly deployed,essential services being incorrectly deployed,1
estimated $10 billion annual healthcare expenditure,estimated $10 billion annual healthcare expenditure,1
improving pers ability to detect a user's fall-related pain level,estimation of user pain level and intensity following a fall event is generally insufficiently accurate,2
improving pers ability to detect a user's fall-related pain level,improving pers ability to detect a user's fall-related pain level,2
estrogen withdrawal symptoms,estrogen withdrawal symptoms,1
ethical and psychologically traumatic implications,ethical and psychologically traumatic implications,1
event affecting a monitored person,event affecting a monitored person,2
event affecting a monitored person,event is detrimental to the monitored person,2
exceptions not covered by conventional systems,exceptions not covered by conventional systems,1
excessive weight,excessive weight,2
excessive weight,weight gain,2
existing devices lack structural support,existing devices lack structural support,1
existing heads up displays create an image that is projected into the field of view of a user,existing heads up displays create an image that is projected into the field of view of a user,1
existing location technologies rely on the network to identify the dispatchable location,existing location technologies rely on the network to identify the dispatchable location,1
existing personal emergency response systems (pers) are wearable devices,existing personal emergency response systems (pers) are wearable devices,3
existing personal emergency response systems (pers) are wearable devices,existing personal emergency response systems are wearable devices,3
existing personal emergency response systems (pers) are wearable devices,rely on and utilize personal emergency response systems (pers),3
existing systems are expensive,existing systems are expensive,1
existing systems rely on the psap requesting location updates through a “re-bid” process,existing systems rely on the psap requesting location updates through a “re-bid” process,1
existing systems typically use lenses that direct an image towards a partially transparent surface,existing systems typically use lenses that direct an image towards a partially transparent surface,1
expanding medical bills,expanding medical bills,1
expensive,expensive,4
expensive,expensive solution,4
expensive,expensive to manufacture,4
expensive,relatively expensive,4
expensive and time-consuming due to the number of doctor's office visits required,expensive and time-consuming due to the number of doctor's office visits required,1
expensive and/or complex to execute,expensive and/or complex to execute,1
expensive automated riser chairs,expensive automated riser chairs,1
expensive hospital beds,expensive hospital beds,1
expensive infertility treatments,expensive infertility treatments,2
expensive infertility treatments,high cost of ivf treatment,2
expensive professional caregiver,expensive professional caregiver,1
expensive retail merchandise susceptible to shoplifting,expensive retail merchandise susceptible to shoplifting,1
expensive transportation modes,expensive transportation modes,1
exploitation and/or abuse,exploitation and/or abuse,1
expose the individual and the caregiver to several injuries,expose the individual and the caregiver to several injuries,1
exposes the likely immuno-compromised patient to potential contagious diseases,exposes the likely immuno-compromised patient to potential contagious diseases,1
extensive resource overhead,extensive resource overhead,1
externally found data set is not transmitted,externally found data set is not transmitted,1
extra wide abutting surfaces do not always provide sufficient strength for long term use,extra wide abutting surfaces do not always provide sufficient strength for long term use,1
extremely difficult for one person to safely transfer a patient,extremely difficult for one person to safely transfer a patient,1
forgetting to take their medication at the proper times,failing to take the medications at the prescribed time,6
forgetting to take their medication at the proper times,failure to take a medication when prescribed,6
forgetting to take their medication at the proper times,forgetting to take their medication at the proper times,6
forgetting to take their medication at the proper times,forgetting to take their medications,6
forgetting to take their medication at the proper times,taking the incorrect amount of medication at the proper time,6
forgetting to take their medication at the proper times,taking the medications at the wrong time,6
unsuccessful attempts to establish pregnancy,failure of a couple to conceive a pregnancy,5
unsuccessful attempts to establish pregnancy,inability to conceive,5
unsuccessful attempts to establish pregnancy,poor chances for successful pregnancy,5
unsuccessful attempts to establish pregnancy,prolonged attempts to become pregnant end in failure,5
unsuccessful attempts to establish pregnancy,unsuccessful attempts to establish pregnancy,5
failure of survival of the embryo over the first weeks of its existence,failure of survival of the embryo over the first weeks of its existence,2
failure of survival of the embryo over the first weeks of its existence,loss of embryo viability,2
most of the blastocysts fail to attach properly to the uterus,failure of the blastocyst to escape from the zona pellucida,2
most of the blastocysts fail to attach properly to the uterus,most of the blastocysts fail to attach properly to the uterus,2
failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system,failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system,1
failure of the elderly person to carry or wear the monitoring device,failure of the elderly person to carry or wear the monitoring device,1
failure to account for the phenotypic traits of those women,failure to account for the phenotypic traits of those women,1
failure to apprise an elderly person of available activities,failure to apprise an elderly person of available activities,1
failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy,failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy,1
failure to implant,failure to implant,1
failure to incorporate social connectivity measures,failure to incorporate social connectivity measures,1
failure to obtain emergency help,failure to obtain emergency help,1
failure to obtain emergency help for an injured user,failure to obtain emergency help for an injured user,1
failure to properly monitor compliance,failure to properly monitor compliance,2
failure to properly monitor compliance,lack of compliance logging and monitoring system for routine activities,2
failure to realize that activities are currently unavailable,failure to realize that activities are currently unavailable,1
failure to respond to the initial doses of fsh,failure to respond to the initial doses of fsh,2
failure to respond to the initial doses of fsh,poor response to fsh stimulation,2
failure to take a prescribed medication for treatment of diabetes can result in severe health consequences including death,failure to take a prescribed medication for treatment of diabetes can result in severe health consequences including death,1
failure to take a prescribed medication for treatment of heart disease,failure to take a prescribed medication for treatment of heart disease,1
fall,fall,3
fall,falls,3
fall,recent falls,3
fall prevention and detection,fall detection,2
fall prevention and detection,fall prevention and detection,2
fall events that are not detected,fall events that are not detected,1
fall of the person who is taken care of,fall of the person who is taken care of,1
risk of falling,fall or injury risk due to instability,3
risk of falling,risk of falling,3
risk of falling,risk of injury from falls,3
fall-related injuries,fall-related injuries,1
falls are serious hazards for older individuals,falls are a leading cause of injury and death for older people,3
falls are serious hazards for older individuals,falls are one of the most serious health risks among seniors over the age of 65,3
falls are serious hazards for older individuals,falls are serious hazards for older individuals,3
falls are among main etiologies for adverse and life-limiting physical disabilities in older populations,falls are among main etiologies for adverse and life-limiting physical disabilities in older populations,1
falls are caused by fluctuations in the vital activities of the elderly patients,falls are caused by fluctuations in the vital activities of the elderly patients,1
falls are monitored and addressed upon in real time,falls are monitored and addressed in real time,2
falls are monitored and addressed upon in real time,falls are monitored and addressed upon in real time,2
falls cause drastic change in vital activities,falls cause drastic change in vital activities,1
falls down,falls down,1
falls occurring within a continuing care retirement facility,falls occurring within a continuing care retirement facility,1
falls occurring within a person's home,falls occurring within a person's home,1
falls that often result in injuries,falls that often result in injuries,1
false alarms,false alarms,2
false alarms,high rate of false alarms and miss-detects,2
false positives,false negatives,3
false positives,false positive signal,3
false positives,false positives,3
false positive fall events,false positive fall events,1
false positives due to unreliable sensing mechanisms,false positives due to unreliable sensing mechanisms,1
farmers' lack of access to information,farmers often lack relevant and up-to-date information,2
farmers' lack of access to information,farmers' lack of access to information,2
muscles and joints tighten,fascia surrounding the muscles and the joints becomes tight and less flexible,2
muscles and joints tighten,muscles and joints tighten,2
fast response to personal needs,fast response to personal needs,1
fastest growing population in the us,fastest growing population in the us,1
fatigue,fatigue,1
fear of invasion of privacy,fear of invasion of privacy,1
fecundity of individual embryos,fecundity of individual embryos,1
feedback phenomenon,feedback phenomenon,1
fetal and neonatal morbidity and mortality,fetal and neonatal morbidity and mortality,2
fetal and neonatal morbidity and mortality,neonatal morbidity,2
fetal risks including pre-term delivery,fetal risks including pre-term delivery,5
fetal risks including pre-term delivery,increased risk of premature birth,5
fetal risks including pre-term delivery,increased risk of preterm delivery,5
fetal risks including pre-term delivery,maternal and fetal risks,5
fetal risks including pre-term delivery,maternal and perinatal risks,5
medication adherence management,few existing solutions available for ensuring medication adherence,3
medication adherence management,medication adherence,3
medication adherence management,medication adherence management,3
financial burden on insurers,financial burden on insurers,1
financial burden on society,financial burden on society,2
financial burden on society,financial burden on the government,2
financial constraints,financial constraints,1
financial cost,financial cost,1
financially burdensome,financially burdensome,1
inability to easily rise back up,find it difficult or impossible to rise to their feet,2
inability to easily rise back up,inability to easily rise back up,2
fire death risk among seniors is more than double the average population,fire death risk among seniors is more than double the average population,1
fixed activation points,fixed activation points,1
fixed back of standard wheelchairs,fixed back of standard wheelchairs,1
follicular atresia,follicular atresia,1
forgetfulness,forgetfulness,1
forgetting to eat,forgetting to eat,1
formation of the placenta in early pregnancy,formation of the placenta in early pregnancy,1
formidable task for a mobility challenged patient,formidable task for a mobility challenged patient,2
formidable task for a mobility challenged patient,physically challenged patient,2
