representative,synonym,group_size
current technologies share certain drawbacks,current technologies share certain drawbacks,1
current traffic regulation systems present several drawbacks for slower moving people,current traffic regulation systems present several drawbacks for slower moving people,1
current walkers are rigid,current walkers are rigid,1
current walkers do not provide assistance in both rising and walking,current walkers do not provide assistance in both rising and walking,1
current walkers may often require several nurses or physical assistance personnel,current walkers may often require several nurses or physical assistance personnel,1
cyber bullying,cyber bullying,1
damage to their bodies,damage to their bodies,1
damage to users due to poor ergonomics,damage to users due to poor ergonomics,1
damaged or absent fallopian tubes,damaged or absent fallopian tubes,1
damaged trains unable to communicate,damaged trains unable to communicate,1
danger of an overdose,danger of an overdose,1
danger of preparation errors,danger of preparation errors,1
dangerous condition,dangerous condition,4
dangerous condition,dangerous mental or physical conditions,4
dangerous condition,dangerous situation,4
dangerous condition,potentially dangerous situation,4
dangerous when used to traverse any more challenging terrain,dangerous when used to traverse any more challenging terrain,1
dangerously combining the medications with other medications,dangerously combining the medications with other medications,1
dangerously high or low pulse rates,dangerously high or low blood pressure,2
dangerously high or low pulse rates,dangerously high or low pulse rates,2
dangers of accidents and emergencies,dangers of accidents and emergencies,1
risk of injury from falling,dangers of falling,6
risk of injury from falling,health-threatening falls,6
risk of injury from falling,possible falls or other consequences,6
risk of injury from falling,risk of falling,6
risk of injury from falling,risk of injury from falling,6
risk of injury from falling,risk of injury from falls,6
risks associated with multiple gestation pregnancies,dangers of multiple pregnancies for both the mother and the neonates,2
risks associated with multiple gestation pregnancies,risks associated with multiple gestation pregnancies,2
dangers that can potentially harm a large number of people,dangers that can potentially harm a large number of people,1
death,death,1
rehabilitation from accidents,debilitated due to accidents,2
rehabilitation from accidents,rehabilitation from accidents,2
musculoskeletal deterioration,debilitating aging-related musculo-skeletal conditions,2
musculoskeletal deterioration,musculoskeletal deterioration,2
decline in both musculoskeletal and physical function,decline in both musculoskeletal and physical function,2
decline in both musculoskeletal and physical function,loss of physical and cognitive function,2
poor oocyte quality,decline in egg quality,5
poor oocyte quality,decreased egg production,5
poor oocyte quality,poor oocyte and embryo quality,5
poor oocyte quality,poor oocyte quality,5
poor oocyte quality,poor quality eggs,5
deconditioning from cardio-pulmonary issues,deconditioning from cardio-pulmonary issues,1
decrease in the number of employers offering defined retirement benefit pension plans,decrease in defined benefit pension plans,3
decrease in the number of employers offering defined retirement benefit pension plans,decrease in the number of employers offering defined retirement benefit pension plans,3
decrease in the number of employers offering defined retirement benefit pension plans,decrease in the number of employers that offer defined retirement benefit pension plans,3
decrease in maximum heart rate,decrease in maximum heart rate,1
decrease in mobility,decrease in mobility,9
decrease in mobility,decrease in mobility or cognitive ability,9
decrease in mobility,decreased mobility,9
decrease in mobility,further deterioration and decline of mobility,9
decrease in mobility,lack of mobility,9
decrease in mobility,losing even more mobility,9
decrease in mobility,loss of strength and mobility,9
decrease in mobility,mobility and ambulation becomes increasingly difficult,9
decrease in mobility,mobility decreases,9
decrease in muscle mass,decrease in muscle mass,1
decreased functional capacity,decreased functional capacity,1
decreased independence,decreased independence,2
decreased independence,difficulty in maintaining independence,2
decreased level of physical activity,decreased level of physical activity,1
decreased mental capacity,decreased mental capacity,2
decreased mental capacity,reduced cognitive capabilities,2
severely impact quality of life,decreased quality of life,4
severely impact quality of life,impact quality of life,4
severely impact quality of life,negatively impact the quality of daily life,4
severely impact quality of life,severely impact quality of life,4
decreased range of motion,decreased range of motion,1
decreased swelling and inflammation of joints,decreased swelling and inflammation of joints,1
decreases in strength,decreases in strength,1
defects in spermatogenesis,defects in spermatogenesis,1
degenerative conditions resulting from aging or disease,degenerative conditions resulting from aging or disease,1
degradation in their living functions,degradation in their living functions,1
inability to stand and/or walk unaided,degradation of the ability to walk,3
inability to stand and/or walk unaided,inability to stand and/or walk unaided,3
inability to stand and/or walk unaided,limitations in the ability of the individual to walk without aid,3
dehydration,dehydration,1
delay in determining that the individual has suffered a fall,delay in determining that the individual has suffered a fall,2
delay in determining that the individual has suffered a fall,detection of individual falls,2
delay in emergency response times,delay in emergency response times,1
delaying first aid,delaying first aid,1
delays can constitute a significant safety issue,delays can constitute a significant safety issue,1
demand for various mobility aiding devices,demand for various mobility aiding devices,1
demands on communication processes,demands on communication processes,1
dementia,dementia,1
demographic shift to the overall population,demographic shift to the overall population,1
dependence on the assistance of others,dependence on the assistance of others,3
dependence on the assistance of others,dependence upon the care of others,3
dependence on the assistance of others,require assistance from another,3
dependence upon the delivery of home health and general care,dependence upon the delivery of home health and general care,1
dependency,dependency,1
dependent care,dependent care,1
severe depression,depression,2
severe depression,severe depression,2
design has not substantially changed in the last thirty years,design has not substantially changed in the last thirty years,1
design is large,design is large,1
design of the wheelchair may impede freedom of movement,design of the wheelchair may impede freedom of movement,1
detect an event only after it has occurred,detect an event only after it has occurred,1
detecting the occurrence of falls,detecting the occurrence of falls,5
detecting the occurrence of falls,fall detection,5
detecting the occurrence of falls,fall prevention and detection,5
detecting the occurrence of falls,monitoring a person's movements for detecting if the person has fallen,5
detecting the occurrence of falls,timely detection of an on-going falling,5
detection time of the system is also limited by battery capacity,detection time of the system is also limited by battery capacity,1
deteriorate with age,deteriorate with age,1
deterioration in health status,deterioration in health status,5
deterioration in health status,deterioration of the medical condition,5
deterioration in health status,health status decline,5
deterioration in health status,person's health or well-being could deteriorate more rapidly,5
deterioration in health status,rapid decline of the health of an individual,5
detriments to the elderly,detriments to the elderly,1
devastating toll on caregivers,devastating toll on caregivers,6
devastating toll on caregivers,emotional stress of caregiving,6
devastating toll on caregivers,great burden to the caregiver,6
devastating toll on caregivers,serious health problems for caregivers,6
devastating toll on caregivers,severe effects on the carer,6
devastating toll on caregivers,stress of those being cared for as well as the caregivers,6
trisomic pregnancies,devastating trisomic diseases,2
trisomic pregnancies,trisomic pregnancies,2
development of a limp or abnormal gait,development of a limp or abnormal gait,1
not vertically adjustable to accommodate users of differing heights,device is not height adjustable for accommodating different sized users,3
not vertically adjustable to accommodate users of differing heights,do not have a height control function to adjust for users of different heights,3
not vertically adjustable to accommodate users of differing heights,not vertically adjustable to accommodate users of differing heights,3
device is subject to frequent charging or battery replacement,device is subject to frequent charging or battery replacement,1
device must be worn or be accessible by the subject at all times,device must be worn or be accessible by the subject at all times,1
devices do not facilitate walking where possible,devices do not facilitate walking where possible,1
devices require the user to hold a handle with each hand,devices require the user to hold a handle with each hand,1
diabetes,diabetes,1
diagnosis of frailty,diagnosis of frailty,2
diagnosis of frailty,"unmet need in developing devices, methods and systems to diagnose frailty",2
difference in the motion between the human body and the support member,difference in the motion between the human body and the support member,1
different care needs,different care needs,3
different care needs,need of care,3
different care needs,require specialized care,3
different lifestyles and habits,different lifestyles and habits,1
different models for assessing the development potential of embryos,different models for assessing the development potential of embryos,1
differential management of individual embryos,differential management of individual embryos,1
time consuming and generally very expensive,difficult and expensive procedure,2
time consuming and generally very expensive,time consuming and generally very expensive,2
difficult even for the nursing staff to raise the person,difficult even for the nursing staff to raise the person,1
difficult for one person to lift another without undue exertion,difficult for one person to lift another without undue exertion,3
difficult for one person to lift another without undue exertion,extremely difficult for one person to safely transfer a patient,3
difficult for one person to lift another without undue exertion,unable to move without the combined efforts of at least two people,3
difficult for smaller caretakers to assist more sizable individuals,difficult for smaller caretakers to assist more sizable individuals,1
difficult for transferring a person to and from the wheelchair,difficult for transferring a person to and from the wheelchair,8
difficult for transferring a person to and from the wheelchair,difficult task of moving from the seated position in a wheelchair to a standing position,8
difficult for transferring a person to and from the wheelchair,difficult to move patients between the wheelchair and a second location,8
difficult for transferring a person to and from the wheelchair,difficulty for a mobility-impaired person to transfer themselves out of a wheelchair,8
difficult for transferring a person to and from the wheelchair,difficulty in moving a person from a prone position to a seated position,8
difficult for transferring a person to and from the wheelchair,difficulty in moving a person from a seated position to a standing position,8
difficult for transferring a person to and from the wheelchair,difficulty transferring himself from a bed to the chair,8
difficult for transferring a person to and from the wheelchair,moving the user from the wheelchair to a vehicle may be difficult,8
difficult if the user is large and heavy,difficult if the user is large and heavy,1
difficult in rising from the sitting position to the standing position,difficult in rising from the sitting position to the standing position,12
difficult in rising from the sitting position to the standing position,difficulty for elderly patients to rise to an erect standing position,12
difficult in rising from the sitting position to the standing position,difficulty in standing up and sitting down,12
difficult in rising from the sitting position to the standing position,difficulty sitting and rising from chairs,12
difficult in rising from the sitting position to the standing position,difficulty to get up from an item of seating furniture,12
difficult in rising from the sitting position to the standing position,exhausting transition from a sitting position to a standing position,12
difficult in rising from the sitting position to the standing position,insufficient strength to lift themselves from the chair to the standing position,12
difficult in rising from the sitting position to the standing position,movement required to arise from a seated position particularly difficult,12
difficult in rising from the sitting position to the standing position,moving between sitting and standing positions,12
difficult in rising from the sitting position to the standing position,tiresome transition from the sitting to the standing position,12
difficult in rising from the sitting position to the standing position,transitioning from a seated position to a standing position,12
difficult in rising from the sitting position to the standing position,transitioning from a sitting position to a standing position,12
difficult or physically challenging for assisting persons to raise,difficult or physically challenging for assisting persons to raise,1
difficult to accomplish arms-forward movement,difficult to accomplish arms-forward movement,1
difficult to accurately access a person's condition,difficult to accurately access a person's condition,2
difficult to accurately access a person's condition,difficult to accurately access and record a person's condition and range of motion,2
difficult to adjust between use on stairs and use on level walkways,difficult to adjust between use on stairs and use on level walkways,2
difficult to adjust between use on stairs and use on level walkways,unstable and unwieldy on stairs,2
difficult to assist the fallen person to their feet,difficult to assist the fallen person to their feet,1
"difficult to change their angle of inclination, height, and position","difficult to change their angle of inclination, height, and position",1
difficult to control the patient's weight,difficult to control the patient's weight,1
difficult to deploy and store seats,difficult to deploy and store seats,1
difficult to encourage friends and associates to remain physically active,difficult to encourage friends and associates to remain physically active,1
difficult to expect their complete recovery,difficult to expect their complete recovery,1
difficult to install in many locations,difficult to install in many locations,1
difficult to maintain in stable configurations,difficult to maintain in stable configurations,1
difficult to move and to store,difficult to move and to store,3
difficult to move and to store,hard to move or transfer,3
difficult to move and to store,uneasy to store or transfer,3
difficult to relate to human embryo development,difficult to relate to human embryo development,1
difficult to use and ineffective,difficult to use and ineffective,1
difficulties encountered when users' assistants are manipulating the device,difficulties encountered when users' assistants are manipulating the device,1
difficulties finding buyers willing to buy their goods for a fair value,difficulties finding buyers willing to buy their goods for a fair value,1
difficulties in caring for an individual with limited mobility,difficulties in caring for an individual with limited mobility,3
difficulties in caring for an individual with limited mobility,formidable task for a mobility challenged patient,3
difficulties in caring for an individual with limited mobility,mobility challenges,3
difficulty conceiving,difficulties in conceiving,4
difficulty conceiving,difficulty becoming pregnant,4
difficulty conceiving,difficulty conceiving,4
difficulty conceiving,inability to conceive,4
difficulties in the physical handling of patients,difficulties in the physical handling of patients,3
difficulties in the physical handling of patients,difficulty in handling patients over 300 pounds,3
difficulties in the physical handling of patients,patient handling and resulting caregiver injury,3
difficulties standing by themselves,difficulties standing by themselves,1
lack of medication adherence,difficulty adhering to prescribed therapies,10
lack of medication adherence,failing to comply with pharmacological therapies,10
lack of medication adherence,lack of medication adherence,10
lack of medication adherence,medication non-adherence,10
lack of medication adherence,non-compliance with a prescribed dose regimen,10
lack of medication adherence,non-compliance with a prescribed regimen of one or more medications,10
lack of medication adherence,not following medication regimen,10
lack of medication adherence,poor adherence to medication schedules,10
lack of medication adherence,poor compliance with a healthcare provider or physician-prescribed medication regimen,10
lack of medication adherence,poor medication adherence,10
difficulty in walking,difficulty ambulating,8
difficulty in walking,difficulty in independent walking,8
difficulty in walking,difficulty in walking,8
difficulty in walking,difficulty in walking and maintaining balance,8
difficulty in walking,difficulty walking,8
difficulty in walking,difficulty walking without a walking aid,8
difficulty in walking,difficulty walking without assistance,8
difficulty in walking,walking difficulties,8
difficulty changing position,difficulty changing position,1
difficulty for a patient or a care taker to organize a patient's medications,difficulty for a patient or a care taker to organize a patient's medications,3
difficulty for a patient or a care taker to organize a patient's medications,inability to manage medications,3
difficulty for a patient or a care taker to organize a patient's medications,psychologically daunting to face the task of organizing all of the medications,3
"difficulty getting in and out of a bath, hot tub, or other similar situations","difficulty for a patient to get in and out of a bath, hot tub, or other similar situations",3
"difficulty getting in and out of a bath, hot tub, or other similar situations","difficulty getting in and out of a bath, hot tub, or other similar situations",3
"difficulty getting in and out of a bath, hot tub, or other similar situations",difficulty in providing assistance to enable the bather to enter a bathtub,3
difficulty for children to monitor their wellbeing,difficulty for children to monitor their wellbeing,1
difficulty for staff and professionals to adhere to necessary schedules,difficulty for staff and professionals to adhere to necessary schedules,1
limited ability to safely exit from the chair,difficulty getting into and out of such chairs,3
limited ability to safely exit from the chair,difficulty or impossible for the individual to safely get back into bed or the chair,3
limited ability to safely exit from the chair,limited ability to safely exit from the chair,3
difficulty in grasping a handle or other brake mechanism,difficulty in grasping a handle or other brake mechanism,1
difficulty in transporting the lifts,difficulty in transporting the lifts,3
difficulty in transporting the lifts,difficulty with transport of the devices,3
difficulty in transporting the lifts,lifts are often large and heavy,3
inconvenient to move the patient,"difficulty or dangerous to the patient, medical staff or family to try to stand the patient",2
inconvenient to move the patient,inconvenient to move the patient,2
difficulty performing activities of daily living,difficulty performing activities of daily living,3
difficulty performing activities of daily living,increased deficits in instrumental activities of daily living,3
difficulty performing activities of daily living,reduction in the ability to perform daily living activities,3
elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own,difficulty related to raise an elderly person or a person with reduced mobility that has fallen on a floor,2
elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own,elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own,2
difficulty to enforce restraining orders,difficulty to enforce restraining orders,1
difficulty to remember if one has actually taken a pill,difficulty to remember if one has actually taken a pill,2
difficulty to remember if one has actually taken a pill,harder to remember to take a medication,2
difficulty to sit down on an item of seating furniture,difficulty to sit down on an item of seating furniture,1
difficulty with following cooking/preparation/eating directions,difficulty with following cooking/preparation/eating directions,1
poor hearing of hard-of-hearing patients,difficulty with hearing,2
poor hearing of hard-of-hearing patients,poor hearing of hard-of-hearing patients,2
diminished ability to store and retrieve information into memory,diminished ability to store and retrieve information into memory,1
diminished ability to understand concepts or instructions,diminished ability to understand concepts or instructions,1
diminished ovarian function,diminished ovarian function,3
diminished ovarian function,diminished ovarian reserve,3
diminished ovarian function,ovarian dysfunction,3
diminished patient safety,diminished patient safety,2
diminished patient safety,patient safety issues,2
diminished production of a number of growth factors,diminished production of a number of growth factors,1
diminished visual acuity,diminished visual acuity,2
diminished visual acuity,limited visual acuity,2
reduced dexterity,diminishing dexterity,3
reduced dexterity,reduced dexterity,3
reduced dexterity,reduced dexterity or upper-body strength,3
disability,disability,2
disability,permanent disability,2
disabled,disabled,1
disabled or injured people who do not have full use of their legs,disabled or injured people who do not have full use of their legs,1
incapacitated condition,disabling conditions,2
incapacitated condition,incapacitated condition,2
disadvantage of inconvenience that might happen to the carer moving the movable lift device,disadvantage of inconvenience that might happen to the carer moving the movable lift device,1
disadvantages and limitations of standard devices,disadvantages and limitations of standard devices,1
disadvantages of the prior art,disadvantages of prior art devices,2
disadvantages of the prior art,disadvantages of the prior art,2
user discomfort,discomfort for an individual wearing the system,3
user discomfort,discomfort to the person,3
user discomfort,user discomfort,3
discomfort or fear from being stigmatised,discomfort or fear from being stigmatised,1
discomfort to the patient,discomfort to the patient,4
discomfort to the patient,physical discomfort,4
discomfort to the patient,uncomfortable and unsafe for the patient,4
discomfort to the patient,uncomfortable feelings felt by the patient,4
discourage an individual from using his or her own strength and muscles,discourage an individual from using his or her own strength and muscles,1
discrimination,discrimination,1
disease,disease,2
disease,diseases,2
disease progression,disease progression,1
failure to implant,disorder of implantation,5
failure to implant,failure of embryos to implant,5
failure to implant,failure to implant,5
failure to implant,implantation failure,5
failure to implant,improper implantation of the embryo,5
disoriented senior citizens become missing,disoriented senior citizens become missing,1
disruptive rest periods,disruptive rest periods,1
large difference in height between adjacent stairs,distance separating front and rear legs being wider than a typical stair step depth,2
large difference in height between adjacent stairs,large difference in height between adjacent stairs,2
distinguish between individual occupants in a space and multiple occupants,distinguish between individual occupants in a space and multiple occupants,1
distraction in the elderly,distraction in the elderly,1
distress,distress,1
ovulatory disturbances,disturbance of the normal menstrual cycle,2
ovulatory disturbances,ovulatory disturbances,2
do not allow for normal gait,do not allow for normal gait,1
do not assist in helping the user to maintain the correct posture,do not assist in helping the user to maintain the correct posture,2
do not assist in helping the user to maintain the correct posture,do not promote good posture,2
"do not provide adjustments for stairs, curbs, sidewalks, and other ground obstacles","do not provide adjustments for stairs, curbs, sidewalks, and other ground obstacles",1
do not provide latitude in hand-holds location,do not provide latitude in hand-holds location,1
does not analyze user's patterns,does not analyze user's patterns,1
violence and domestic abuse,domestic violence,2
violence and domestic abuse,violence and domestic abuse,2
double dosing,double dosing,1
drained battery,drained battery,1
drawback that they must be raised by a user with each advancing step,drawback that they must be raised by a user with each advancing step,1
drawbacks negatively impact one's independence,drawbacks negatively impact one's independence,1
driver error,driver error,1
dysmenorrhea,dysmenorrhea,1
dyspareunia,dyspareunia,1
early miscarriage,early miscarriage,2
early miscarriage,miscarriage,2
ease of use,ease of use,1
lack of access to information,easy access to information is not available to everyone,2
lack of access to information,lack of access to information,2
easy operation by individuals with impaired dexterity,easy operation by individuals with impaired dexterity,1
economic costs to the couple,economic costs to the couple,1
economic losses,economic losses,1
high economic burden on the patients,economic/psychological burden on a patient,3
high economic burden on the patients,high economic burden on the patients,3
high economic burden on the patients,imposing a high economic burden on the patients,3
ectopic pregnancy,ectopic pregnancy,1
effects of aging,effects of aging,1
effort required to move them,effort required to move them,1
egg infertility,egg infertility,1
elder distress,elder distress,1
elderly,elderly,2
elderly,the elderly,2
elderly individuals with physical or mental impairments,elderly facing physical and/or mental decline,2
elderly individuals with physical or mental impairments,elderly individuals with physical or mental impairments,2
elderly may fall and become unable to move,elderly may fall and become unable to move,3
elderly may fall and become unable to move,"if a crippled or elderly person falls, often that person cannot get up under their own power",3
elderly may fall and become unable to move,injuries resulting from falls may render older individuals incapable of calling for help,3
elderly people often struggle with keeping track of the intake of their medicine,elderly people often struggle with keeping track of the intake of their medicine,1
"elderly person on the floor is uninjured, nevertheless, a call to 911 is typically placed","elderly person on the floor is uninjured, nevertheless, a call to 911 is typically placed",1
"elderly persons are capable of taking care of themselves, but may on occasion, require assistance","elderly persons are capable of taking care of themselves, but may on occasion, require assistance",1
elderly user or a user recovering from surgery may be weak,elderly user or a user recovering from surgery may be weak,1
elders neglect re-wearing when getting out of bed or bath,elders neglect re-wearing when getting out of bed or bath,1
elders' perception and image issues,elders' perception and image issues,2
elders' perception and image issues,limited acceptance and use due to elders' perception and image issues,2
elevated estradiol,elevated estradiol,1
elopement,elopement,1
humiliating,embarrassing,2
humiliating,humiliating,2
embarrassment of the fire trucks or ambulance in the driveway,embarrassment of the fire trucks or ambulance in the driveway,1
embryo development may not be enhanced during the culturing,embryo development may not be enhanced during the culturing,1
emergency calls being placed by a person not involved in the emergency,emergency calls being placed by a person not involved in the emergency,1
emergency calls from the hearing-impaired,emergency calls from the hearing-impaired,1
emergency communications systems were completely destroyed,emergency communications systems were completely destroyed,1
emergency is often located in another jurisdiction,emergency is often located in another jurisdiction,1
emergency operator is not proactively notified of location updates,emergency operator is not proactively notified of location updates,1
emergency situations,emergency pendant,4
emergency situations,emergency situation,4
emergency situations,emergency situations,4
emergency situations,used in the event of an emergency,4
emergency relating to health,emergency relating to health,5
emergency relating to health,emergency relating to security,5
emergency relating to health,emergent health situations,5
emergency relating to health,health related emergencies,5
emergency relating to health,medical emergencies,5
emergency situation could be overlooked,emergency situation could be overlooked,1
substantial emotional and financial costs,emotional cost,3
substantial emotional and financial costs,substantial economic and emotional costs,3
substantial emotional and financial costs,substantial emotional and financial costs,3
emotional toll negative pregnancy results have on couples,emotional effects of infertility,2
emotional toll negative pregnancy results have on couples,emotional toll negative pregnancy results have on couples,2
emotional toll on hopeful and expectant parents,emotional toll on hopeful and expectant parents,1
emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves,emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves,1
"employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly","employees in nursing and personal care facilities suffer more than 200,000 patient-handling injuries yearly",1
endometriosis,endometriosis,1
energy consumption of a motion sensing device,energy consumption of a motion sensing device,1
engineering defects in designing and executing the road,engineering defects in designing and executing the road,1
environmental factors,environmental factors,1
environmental influences such as diet and stress,environmental influences such as diet and stress,1
epidemic shortage in the nursing workforce,epidemic shortage in the nursing workforce,2
epidemic shortage in the nursing workforce,shortage of healthcare professionals,2
epileptic seizures,epileptic seizures,1
erroneous decisions,erroneous decisions,1
"erroneous decisions, such as whether to proceed with ivf using particular embryos","erroneous decisions, such as whether to proceed with ivf using particular embryos",1
essential services being incorrectly deployed,essential services being incorrectly deployed,1
estimated $10 billion annual healthcare expenditure,estimated $10 billion annual healthcare expenditure,1
estimation of user pain level and intensity following a fall event is generally insufficiently accurate,estimation of user pain level and intensity following a fall event is generally insufficiently accurate,2
estimation of user pain level and intensity following a fall event is generally insufficiently accurate,improving pers ability to detect a user's fall-related pain level,2
estrogen withdrawal symptoms,estrogen withdrawal symptoms,1
ethical and psychologically traumatic implications,ethical and psychologically traumatic implications,1
event affecting a monitored person,event affecting a monitored person,2
event affecting a monitored person,event is detrimental to the monitored person,2
exceptions not covered by conventional systems,exceptions not covered by conventional systems,1
excessive weight,excessive weight,1
existing devices lack structural support,existing devices lack structural support,1
existing heads up displays create an image that is projected into the field of view of a user,existing heads up displays create an image that is projected into the field of view of a user,1
existing location technologies rely on the network to identify the dispatchable location,existing location technologies rely on the network to identify the dispatchable location,1
existing personal emergency response systems (pers) are wearable devices,existing personal emergency response systems (pers) are wearable devices,5
existing personal emergency response systems (pers) are wearable devices,existing personal emergency response systems are wearable devices,5
existing personal emergency response systems (pers) are wearable devices,personal emergency response systems (pers) are simply failing to provide an acceptable level of efficacy,5
existing personal emergency response systems (pers) are wearable devices,reliance on personal emergency response systems (pers),5
existing personal emergency response systems (pers) are wearable devices,rely on and utilize personal emergency response systems (pers),5
existing systems are expensive,existing systems are expensive,1
existing systems rely on the psap requesting location updates through a “re-bid” process,existing systems rely on the psap requesting location updates through a “re-bid” process,1
existing systems typically use lenses that direct an image towards a partially transparent surface,existing systems typically use lenses that direct an image towards a partially transparent surface,1
expanding medical bills,expanding medical bills,2
expanding medical bills,increasing cost of medical care,2
expensive and time-consuming due to the number of doctor's office visits required,expensive and time-consuming due to the number of doctor's office visits required,1
expensive and/or complex to execute,expensive and/or complex to execute,1
expensive automated riser chairs,expensive automated riser chairs,1
high cost of hospitals,expensive hospital beds,2
high cost of hospitals,high cost of hospitals,2
high cost of ivf treatment,expensive infertility treatments,2
high cost of ivf treatment,high cost of ivf treatment,2
expensive professional caregiver,expensive professional caregiver,2
expensive professional caregiver,hired caregiver can be too costly,2
expensive retail merchandise susceptible to shoplifting,expensive retail merchandise susceptible to shoplifting,1
expensive solution,expensive solution,1
expensive to manufacture,expensive to manufacture,1
expensive transportation modes,expensive transportation modes,1
risk of exploitation,exploitation and/or abuse,2
risk of exploitation,risk of exploitation,2
expose the individual and the caregiver to several injuries,expose the individual and the caregiver to several injuries,2
expose the individual and the caregiver to several injuries,risk of injury to the caregiver,2
exposes the likely immuno-compromised patient to potential contagious diseases,exposes the likely immuno-compromised patient to potential contagious diseases,1
extensive resource overhead,extensive resource overhead,1
externally found data set is not transmitted,externally found data set is not transmitted,1
extra wide abutting surfaces do not always provide sufficient strength for long term use,extra wide abutting surfaces do not always provide sufficient strength for long term use,1
failing to take the medications at the prescribed time,failing to take the medications at the prescribed time,8
failing to take the medications at the prescribed time,failure to take a medication when prescribed,8
failing to take the medications at the prescribed time,failure to take a prescribed medication for treatment of heart disease,8
failing to take the medications at the prescribed time,forgetting to take their medication at the proper times,8
failing to take the medications at the prescribed time,forgetting to take their medications,8
failing to take the medications at the prescribed time,taking the incorrect amount of medication at the proper time,8
failing to take the medications at the prescribed time,taking the medications at the wrong time,8
failing to take the medications at the prescribed time,taking the medications in the incorrect amount,8
prolonged attempts to become pregnant end in failure,failure of a couple to conceive a pregnancy,3
prolonged attempts to become pregnant end in failure,prolonged attempts to become pregnant end in failure,3
prolonged attempts to become pregnant end in failure,unsuccessful attempts to establish pregnancy,3
failure of survival of the embryo over the first weeks of its existence,failure of survival of the embryo over the first weeks of its existence,2
failure of survival of the embryo over the first weeks of its existence,loss of embryo viability,2
failure of the blastocyst to escape from the zona pellucida,failure of the blastocyst to escape from the zona pellucida,1
failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system,failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system,1
failure of the elderly person to carry or wear the monitoring device,failure of the elderly person to carry or wear the monitoring device,1
failure to account for the phenotypic traits of those women,failure to account for the phenotypic traits of those women,1
failure to apprise an elderly person of available activities,failure to apprise an elderly person of available activities,1
failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy,failure to correctly identify the most viable embryos can lead to unsuccessful ivf treatment or multiple gestation pregnancy,1
failure to incorporate social connectivity measures,failure to incorporate social connectivity measures,1
failure to obtain emergency help for an injured user,failure to obtain emergency help,2
failure to obtain emergency help for an injured user,failure to obtain emergency help for an injured user,2
failure to properly monitor compliance,failure to properly monitor compliance,1
failure to realize that activities are currently unavailable,failure to realize that activities are currently unavailable,1
failure to respond to the initial doses of fsh,failure to respond to the initial doses of fsh,2
failure to respond to the initial doses of fsh,poor response to fsh stimulation,2
failure to take a prescribed medication for treatment of diabetes can result in severe health consequences including death,failure to take a prescribed medication for treatment of diabetes can result in severe health consequences including death,1
fall,fall,2
fall,falls,2
undetected fall,fall events that are not detected,2
undetected fall,undetected fall,2
fall of the person who is taken care of,fall of the person who is taken care of,1
fall or injury risk due to instability,fall or injury risk due to instability,3
fall or injury risk due to instability,increased likelihood of further falls and injuries,3
fall or injury risk due to instability,lack of stability resulting in frequent falls,3
injuries resulting from falls,fall-related injuries,6
injuries resulting from falls,falls are a leading cause of injury and death for older people,6
injuries resulting from falls,falls occurring within a person's home,6
injuries resulting from falls,falls that often result in injuries,6
injuries resulting from falls,injuries resulting from falls,6
injuries resulting from falls,injuries sustained from falls,6
falls are among main etiologies for adverse and life-limiting physical disabilities in older populations,falls are among main etiologies for adverse and life-limiting physical disabilities in older populations,1
falls are caused by fluctuations in the vital activities of the elderly patients,falls are caused by fluctuations in the vital activities of the elderly patients,2
falls are caused by fluctuations in the vital activities of the elderly patients,falls cause drastic change in vital activities,2
falls are monitored and addressed in real time,falls are monitored and addressed in real time,2
falls are monitored and addressed in real time,falls are monitored and addressed upon in real time,2
falls down,falls down,1
falls occurring within a continuing care retirement facility,falls occurring within a continuing care retirement facility,1
high false alarm rate,false alarms,5
high false alarm rate,false positives,5
high false alarm rate,high false alarm rate,5
high false alarm rate,high false alert rate,5
high false alarm rate,high rate of false alarms and miss-detects,5
false negatives,false negatives,1
false positive fall events,false positive fall events,1
false positive signal,false positive signal,1
false positives due to unreliable sensing mechanisms,false positives due to unreliable sensing mechanisms,1
farmers often lack relevant and up-to-date information,farmers often lack relevant and up-to-date information,3
farmers often lack relevant and up-to-date information,farmers' lack of access to information,3
farmers often lack relevant and up-to-date information,lack of relevant and up-to-date information,3
fascia surrounding the muscles and the joints becomes tight and less flexible,fascia surrounding the muscles and the joints becomes tight and less flexible,2
fascia surrounding the muscles and the joints becomes tight and less flexible,muscles and joints tighten,2
fast response to personal needs,fast response to personal needs,1
fastest growing population in the us,fastest growing population in the us,1
fatal accidents,fatal accidents,1
fatigue,fatigue,1
fear of invasion of privacy,fear of invasion of privacy,1
fecundity of individual embryos,fecundity of individual embryos,1
feedback phenomenon,feedback phenomenon,1
infertility,female infertility,11
infertility,infertility,11
infertility,infertility condition,11
infertility,infertility in a female mammal,11
infertility,infertility in humans,11
infertility,infertility in women,11
